English,Hindi
biller,बि‍ल बनाने वाला
billing cycle,बि‍लिंग चक्र
billion,बि‍लि‍यन
bills discounted,भुनाए गए बि‍ल
bills for negotiation,"परक्रामण हेतु बि‍ल, बेचान हेतु बि‍ल"
bills of exchange account,वि‍नि‍मय बि‍ल खाता
bills of exchange rediscounted and outstanding,पुन: भुनाये गये और बकाया वि‍नि‍मय बि‍ल
bills payable,"देय बि‍ल ,देय हुंडि‍यां"
bills portfolio,बि‍ल संवि‍भाग
bills purchased,खरीदे गए बि‍ल
bills receivable,"प्राप्य बि‍ल ,प्राप्य हुंडि‍यां"
bills under collection,वसूली के लि‍ए बि‍ल
bin cards (binary),"द्वि-आधारी कार्ड ,द्वि-आधारी पत्रक"
binary options,बाइनरी ऑप्शन
binding condition,बाध्यकारी शर्त
biometric ATM,बायोमेट्रि‍क एटीएम
bipartite settlement,द्वि‍पक्षीय समझौता
black bourse,(वि‍देशी मुद्रा का) काला बाज़ार
black exchange rate,अनधि‍कृत वि‍नि‍मय दर
black gold,पेट्रोलि‍यम
black list,काली सूची
black marketing,चोर-बाजारी
black money,काला धन
black swan theory,काला हंस सि‍द्धांत
blank acceptance,शर्तरहि‍त बि‍ल-सकार
blank bill,कोरी  हुंडी
blank charge,संपूर्ण प्रभार
blank cheque,"कोरा चेक, राशि-रहि‍त चेक"
blank draft form,कोरा ड्राफ्ट फार्म
blank endorsement,कोरा पृष्ठांकन
blank endorsement security,कोरी पृष्ठांकि‍त प्रति‍भूति
blank transfer,"कोरा अंतरण, बेनामी अंतरण"
blanket exchange permit,नि‍र्बंध वि‍देशी मुद्रा परमि‍ट
blanket expense policy,कुल खर्च नीति
blanket import permit,नि‍र्बंध आयात परमि‍ट
blanket licence,नि‍र्बंध लाइसेंस
blanket mortgage,व्यापक बंधक
blanket price,एकमुश्त कीमत
blanket rate,नि‍र्बंध दर
blanket tax,सामूहि‍क कर
blind check,अप्रलेखी जांच
blind pool,अवि‍नि‍र्दि‍ष्ट नि‍वेश नि‍धि
block assets,"थोक आस्ति‍यां ,थोक परि‍संपत्ति‍यां"
block capital,"एकमुश्त पूंजी, थोक पूंजी"
block capital finance,"एकमुश्त , थोक पूंजी वि‍त्त"
block development,"खंड वि‍कास, प्रखंड वि‍कास"
block grants,सामान्य अनुदान
block level bankers’ committee,"खंड स्तरीय बैंकर समि‍ति, प्रखंड स्तरीय बैंकर समि‍ति"
block level co-ordination committee,"खंड स्तरीय समन्वय समि‍ति, प्रखंड स्तरीय समन्वय समि‍ति"
block level village artisan multipurpose society,"खंड, प्रखंड स्तरीय ग्रामीण कारीगर बहु-प्रयोजनीय समि‍ति"
block loans,एकमुश्त ऋण
block valuation,संपूर्ण मूल्यांकन
blocked accounts,अवरुद्ध खाते
blocked amount,अवरुद्ध राशि
blocked asset,"अवरुद्ध आस्ति‍यां ,अवरुद्ध परि‍संपत्ति‍यां"
blocked balances,अवरुद्ध शेषराशि‍यां
blocking of account,खाता अवरुद्ध करना
blocking price,अवरोधक कीमत
blotter,व्यापारि‍क रोजनामचा
blue chip,"ब्लू चि‍प ,  वि‍श्वसनीय  शेयर"
blue chip clients,वि‍श्वसनीय ग्राहक
blue chip company,"ब्लू चि‍प , वि‍श्वसनीय कंपनी"
blue chip rate,वि‍श्वसनीय कंपनी के लि‍ए दर
blue collar job,श्रमि‍क कार्य
blue collar worker,श्रमि‍क
board of directors,"नि‍देशक मंडल ,नि‍देशक बोर्ड"
board of revenue,राजस्व बोर्ड
board of trade,व्यापार मंडल
board resolution,नि‍देशक  मंडल का संकल्प
body,नि‍काय
body corporate,नि‍गमि‍त नि‍काय
bonafide error,नि‍ष्कपट गलती
bonafide owner,"वास्तवि‍क स्वामी ,वास्तवि‍क मालि‍क"
bonafide payment,वास्तवि‍क भुगतान
bond,बॉण्ड
bond certificate,बॉण्ड प्रमाण-पत्र
bond financing,बॉण्ड वि‍त्तपोषण
bond form,बॉण्ड फार्म
bond holder,बॉण्डधारक
bond ledger account,बॉण्ड बहीखाता
bond market,बॉण्ड बाजार
bond of indemnity,क्षति‍पूर्ति बॉण्ड
bond washing,बॉण्ड की फर्जी बि‍क्री
bond yield,बॉण्ड प्रति‍फल
bonded deal,"बंधि‍त लेनदेन ,बंधि‍त सौदा"
bonded debt,बंधि‍त कर्ज
bonded goods,गोदाम में बंधि‍त माल
bonded labour,बंधुआ मजदूर
bonded stock,बंधि‍त स्टॉक
bonds with equity warrants,इक्वि‍टी-वारंटयुक्त बॉण्ड
bonus,बोनस
bonus and rights shares,बोनस और अधि‍कार शेयर
book adjustment,बही समायोजन
book asset,"बही आस्ति,बही परि‍संपत्ति"
book balance,बही शेष
book building process,बही नि‍र्माण प्रक्रि‍या
book closure,बही बंदी
book credit,बही जमा
book debt,बही ऋण
book debts and other accounts receivable,बही ऋण और अन्य लेनदारी लेखा
book deposit,खाता जमा
book keeping,बहीखाता रखना
book of original entry,मूल प्रवि‍ष्टि की बही
book profit,बही लाभ
book rate,बही दर
book transactions,बही लेनदेन
book transfer,बही अंतरण
book value,बही मूल्य
book-built issue,बही-नि‍र्मि‍त कीमत नि‍र्गम
booking of exchange profits,वि‍नि‍मय लाभ दर्ज करना
booking of forward exchange contracts,"वायदा वि‍नि‍मय संवि‍दा दर्ज करना,वायदा वि‍नि‍मय ठेका दर्ज करना"
books of accounts,खाता-बहि‍यां
boom,तेजी
boom and bust,तेजी और मंदी
boost ratio,(मूल्यवृद्धि इत्यादि में) बढ़ोतरी अनुपात
boot maker,मोची
boot money,अति‍रि‍क्त मुआवजा
bootstrap,"स्वत:संपोषक नि‍धीयन, प्रक्रि‍या"
border system of irrigation,तकवार सिंचाई-प्रणाली
borderline risk,सीमि‍त जोखि‍म
borrow,उधार लेना
borrowal account,उधार खाते
borrowed fund,उधार ली गई नि‍धि
borrowed note,जमानती रु क्का
borrowed reserves,उधार ली गयी आरक्षि‍त नि‍धि‍यां
borrower,उधारकर्ता
borrower specific,उधारकर्ता वि‍शि‍ष्ट
borrowing,उधार
borrowing concern,उधारकर्ता संस्था
borrowing power,उधार लेने की शक्ति
borrowing rates,उधार की दरें
bottom fishing,नि‍म्नतम स्तर पर खरीदारी
bottom line growth,लाभ में संवृद्धि
bottom out,गि‍रावट रुकना
bottom price,नि‍म्नतम कीमत
bottom-up method for investments,नि‍वेश की अधरोर्ध्व प्रणाली
bought leaf factories,पत्ती खरीदनेवाले कारखाने
bought ledger,व्यय बही
bought out deals,"सीधी खरीद , सीधे सौदे"
bounced cheque,नकारा गया चेक
bound asset,"आबद्ध आस्ति ,आबद्ध परि‍संपत्ति"
bounty,उदार-दान
bounty fed products,उदार-दान से उत्पादि‍त वस्तुएं
bouquet of products,उत्पाद समूह
bourse,शेयर  बाजार
bouts of volatility,अस्थि‍रता के दौर
bow-tie loan,परवर्ती दर ऋण
box balance,पेटी शेष
branch adjustment account,"शाखा समायोजन लेखा ,शाखा समायोजन खाता"
branch advisory committee,शाखा सलाहकार समि‍ति
branch agent,शाखा एजेंट
branch audit,शाखा लेखापरीक्षा
branch auditor,शाखा लेखापरीक्षक
branch banking,शाखा बैंकिंग
branch clearing code,शाखा समाशोधन कोड
branch control,शाखा नि‍यंत्रण
branch expansion programme,शाखा वि‍स्तार कार्यक्रम
branch management,शाखा प्रबंधन
branch network,शाखा तंत्र
branch office daily account,शाखा कार्यालय दैनि‍क लेखा
branch remittance account,शाखा वि‍प्रेषण लेखा
branch returns,शाखा वि‍वरणि‍यां
branch transfer scroll,शाखा अंतरण सूची
branch wise data,शाखावार आंकड़े
brand ambassador,प्रचार-दूत
brand building,ब्रैंड नि‍र्माण
brand loyalty,ब्रैंड-नि‍ष्ठा
brand money,ब्रैंड धन
branding,ब्रैंडिंग
brassage,सशुल्क सि‍क्का-ढलाई
breach of contract,संवि‍दा भंग
breach of discipline,अनुशासन भंग
breach of duty,कर्तव्य भंग
breach of fiduciary duty,वैश्वासि‍क कर्तव्य भंग
breach of law,वि‍धि भंग
breach of trust,वि‍श्वासघात
break bulk agent,थोक में माल नि‍कालनेवाले एजेंट
break even analysis,लाभ-अलाभ वि‍श्लेषण
break even point,"लाभ-अलाभ बिंदु ,लाभ-अलाभ स्थि‍ति"
break in prices,"कीमतों का टूटना ,कीमतों का कम होना"
break-up,"वि‍श्लेषि‍त वि‍वरण, अलग-अलग वि‍वरण ,अलग-अलग आंकड़े"
break-up value,"वि‍श्लेषि‍त मूल्य,अलग-अलग मूल्य"
BRIC  countries,"ब्रि‍क देश (ब्राजील,रूस,भारत और चीन"
brick and mortar banking,पारंपरि‍क बैंकिंग
bridge finance,पूरक वि‍त्त
bridging finance,पूरक वि‍त्त
bridging loan,पूरक ऋण
bring forward,आगे लाना
briquetting,नोटों के टुकड़ों की ईंटें तैयार करना
brisk trading,"अधि‍क लेनदेन, ट्रेडिंग"
brittle notes,खस्ताहाल नोट
broad banding,स्थूल वर्गीकरण
broad based,व्यापक आधारवाली
broad market,व्यापक बाजार
broad money,"व्यापक , स्थूल मुद्रा"
broadcasting sowing,छि‍टकवा बुवाई
broken account,वि‍खंडि‍त खाता
broken amount,खंडि‍त राशि
broken money,रेजगारी
broken period,खंडि‍त अवधि
broken period interest,खंडि‍त अवधि का ब्याज
broker,दलाल
brokerage (brokering),दलाली
broker's delivery order,दलाल का सुपुर्दगी आदेश
broker's note,दलाल का रु क्का
brought forward,आगे लाया गया
brownfield investment,क्षमता-वि‍स्तार नि‍वेश
brownfield project,वि‍स्तारि‍त परि‍योजना
brown goods,हल्की टि‍काऊ वस्तुएं
browsing the account,खाता अवलोकन (इंटरनेट पर)
bubble,"उफान,बुलबुला"
bucket traders,बकेट टे्रडर
bucking season,तैयारी का समय
budget allocation,बजट आबंटन
budget appropriation,बजट वि‍नि‍योजन
budget estimates,बजट अनुमान
budget head,बजट शीर्ष
budget provision,बजट प्रावधान
budgetary account,बजट लेखा
budgetary balance,बजट शेष
budgetary control,बजट नि‍यंत्रण
budgetary deficit,बजट घाटा
budgetary powers,बजट शक्ति‍यां
budgetary procedure,बजट क्रि‍यावि‍धि
budgetary surplus,बजट अधि‍शेष
budgeted works,बजट-नि‍र्धारि‍त नि‍र्माण-कार्य
budla transaction,बदला सौदा
buffer stock,सुरक्षि‍त भंडार
bulge,उभार
bulk freight,थोक माल-भाड़ा
bull,तेजड़ि‍या
bull campaign,बाज़ार चढ़ाने का अभि‍यान
bull liquidation,तेजड़ि‍या पटान
bull run,तेजड़ि‍या दौर
bull support,तेजड़ि‍यों का समर्थन
bulldozer economics (macro),समष्टि अर्थशास्त्र
bullet bond,बुलेट बॉण्ड
bullet payment,एकबारगी भुगतान
bullion,बुलि‍यन
bullion account,बुलि‍यन लेखा
bullion exchange,सर्राफा बाजार
bullion market,"सर्राफा , बुलि‍यन बाजार"
bullish trend,"तेजी का रु ख , तेजड़ि‍या  प्रवृत्ति‍"
bumper crop,भरपूर फसल
bunching of debt services (on past borrowings),पि‍छले  कर्जों की एक-साथ चुकौती
burgeoning level,बढ़ता हुआ स्तर
business,कारोबार
business activity,व्यावसायि‍क कार्यकलाप
business administration,व्यवसाय प्रशासन
business association,व्यवसाय संघ
business connections,व्यावसायि‍क संबंध
business correspondent,"कारोबार,व्यवसाय प्रति‍नि‍धि"
business cycle,व्यवसाय चक्र
business establishment,"व्यवसाय प्रति‍ष्ठान, व्यावसायि‍क संस्था"
business ethics,व्यावसायि‍क सदाचार
business facilitator,"कारोबार,व्यवसाय सुलभकर्ता"
business hours,कार्य-समय
business house,व्यावसायि‍क घराना
business intelligence,कारोबार आसूचना
business law,व्यवसाय वि‍धि
business modules,कारोबारी मॉड्यूल
business of banking,बैंकिंग व्यवसाय
business practice,व्यवसाय प्रथा
business process outsourcing,व्यवसाय प्रक्रि‍या आउटसोर्सिंग
business process re-engineering,व्यवसाय प्रक्रि‍या पुनर्वि‍न्यास
business proposition,"व्यावसायि‍क , कारोबारी प्रस्ताव"
business standing,व्यावसायि‍क स्थि‍ति
businessman,व्यवसायी
business-to-business (B-to-B),व्यवसायी-से-व्यवसायी
business-to-consumer (B-to-C),व्यवसायी-से-उपभोक्ता
busy season,व्यस्त अवधि
butterfly call spread,"बटरफ्लाई , ति‍तली , सीमि‍त-जोखि‍म क्रय स्प्रेड"
butterfly trade,"बटरफ्लाई , ति‍तली  ट्रेड"
buy,क्रय करना
buy a pup,बेकार की खरीद
buy down agreement,अवक्रय करार
buy low sell high,नि‍म्न दर पर खरीद
buy-and-hold strategy,खरीद-और-धारण रणनीति
buyback,वापसी-खरीद
buyer,क्रेता
buyer's credit,क्रेता की साख पर उधार
buyer's market,"क्रेता,खरीदार बाजार"
buyer's monopoly,"क्रेता,खरीदार का एकाधि‍कार"
buyer's option,"क्रेता,खरीदार का वि‍कल्प"
buyer's risk,क्रेता जोखि‍म
buyer's surplus,"क्रेता, खरीदार अधि‍शेष"
buying in,बदला-खरीद
buying on margin,मार्जि‍न पर खरीद
buying power,क्रय शक्ति
buying rate,क्रय दर
buyout,नि‍यंत्रण हेतु खरीद
buy-side entity,क्रय-पक्ष की संस्था
by weight,"भार,वजन के अनुसार"
bye law,उप-वि‍धि
bye product,उप-उत्पाद
cable rate,केबल दर
cabotage,तट व्यापार
cadastre,"अधि‍कृत जायदाद पंजी,भू-कर पंजी"
calculated value,परि‍कलि‍त मूल्य
calculation of interest,ब्याज का परि‍कलन
calculative,गणनात्मक
calendar year,कैलेंडर वर्ष
calibrated approach,"नपा-तुला, सुवि‍चारि‍त दृष्टि‍कोण"
calibrated measures,"नपे-तुले कदम , उपाय"
call and put option,क्रय-वि‍क्रय वि‍कल्प
call centre,कॉल सेंटर
call date,परि‍पक्वता-पूर्व मोचन की तारीख
call deposit,मांग जमा
call in arrears,शेयर मांग की बकाया राशि
call loan,शीघ्रावधि मांग ऋण
call money market,मांग मुद्रा बाजार
call option,क्रय वि‍कल्प
call price (= redemption price),"शोधन,प्रति‍दान कीमत"
call rate,मांग दर
call unpaid,अदत्त मांग
callable bond (= the issuer may redeem it prior to the stated maturity date),प्रति‍देय बॉण्ड
callable debt,प्रति‍देय कर्ज
callable swap,प्रति‍देय अदला-बदली
called up capital,मांगी गयी पूंजी
calling (= vocation),आजीवि‍का
calling tax,आजीवि‍का कर
calls in arrears,शेयर-मांग की बकाया राशि
canalised funds,एजेंसि‍यों के माध्यम से जुटायी गई नि‍धि‍यां
canalised imports,एजेंसी के माध्यम से आयात
canalised item,एजेंसी माध्यम वाली मद
canalised list,एजेंसी माध्यम वाली सूची
canalizing agency,माध्यम
cancellation,नि‍रसन
cancelled accounts,"नि‍रस्त , रद्द लेखे"
cancelled notes,"नि‍रस्त , रद्द नोट"
canon of currency,मुद्रा सि‍द्धांत
canon of economy,मि‍तव्ययि‍ता सि‍द्धांत
canons of taxation,कराधान के सि‍द्धांत
cap,उच्चतम सीमा
capacity growth,क्षमता संवृद्धि
capacity utilization rate,क्षमता उपयोग दर
per capita,प्रति व्यक्ति
capital,पूंजी
capital account,पूंजीगत लेखा
capital adequacy,पूंजी पर्याप्तता
capital adequacy ratio,पूंजी पर्याप्तता अनुपात
capital adjustment,पूंजी समायोजन
capital and revenue account,पूंजीगत और राजस्व लेखा
capital assets,"पूंजीगत आस्ति‍यां, परि‍संपत्ति‍यां"
capital at charge,प्रभार्य पूंजी
capital budget,पूंजीगत बजट
capital budgeting,पूंजीगत बजट-नि‍र्धारण
capital charge,पूंजीगत प्रभार
capital commitment,पूंजीगत प्रति‍बद्धता
capital convergence ratio,पूंजी अभि‍रूपता अनुपात
capital cost,पूंजीगत लागत
capital debt,पूंजीगत कर्ज
capital development,पूंजी अभि‍वर्धन
capital employed,"प्रयुक्त पूंजी , लगी हुई पूंजी"
capital equipment,पूंजीगत उपस्कर
capital expenditure budget,पूंजीगत व्यय बजट
capital flight,पूंजी पलायन
capital flowing uphill,ऊर्ध्वगामी पूंजी प्रवाह
capital flows,पूंजीगत प्रवाह
capital formation,पूंजी नि‍र्माण
capital funds,पूंजीगत नि‍धि‍यां
capital gains or capital loss,पूंजीगत अभि‍लाभ या पूंजीगत हानि
capital gains tax,पूंजीगत अभि‍लाभ कर
capital goods industries,"पूंजीगत माल , वस्तु उद्योग"
capital improvement,पूंजीगत उन्नयन
capital inflow,पूंजी आगमन
capital infusion,पूंजी का अंत:प्रवाह
capital injection,पूंजी लगाना
capital intensive industry,पूंजी-प्रधान उद्योग
capital investment bond,पूंजी नि‍वेश बॉण्ड
capital issue,पूंजी नि‍र्गम
capital levy,पूंजी कर
capital loan,पूंजीगत ऋण
capital loss,पूंजीगत हानि
capital machinery,पूंजीगत मशीनरी
capital market,पूंजी बाजार
capital movements,पूंजी संचलन
capital outflow,पूंजी बहि‍र्गमन
capital outlay,पूंजीगत परि‍व्यय
capital payments,पूंजीगत भुगतान
capital profit,पूंजीगत लाभ
capital public expenditure,पूंजीगत सरकारी व्यय
capital raised,जुटाई गई पूंजी
capital raised through issue of prospectus,(कंपनी की वि‍त्तीय स्थि‍ति का) वि‍वरण-पत्र जारी कर जुटाई गई पूंजी
capital rationing,पूंजी राशनिंग
capital receipts,पूंजीगत प्राप्ति‍यां
capital redemption,पूंजी मोचन
capital redemption reserve account,पूंजी मोचन आरक्षि‍त नि‍धि खाता
capital reflow,पूंजी की पुन:प्राप्ति
capital requirements,पूंजीगत अपेक्षाएं
capital reserve fund,आरक्षि‍त पूंजी नि‍धि
capital resources,पूंजीगत संसाधन
capital rich economy,पूंजी-बहुल अर्थव्यवस्था
capital saving devices,पूंजी बचत उपाय
capital scarce economy,"कम,दुर्लभ पूंजीवाली अर्थव्यवस्था"
capital stock,पूंजीगत स्टॉक
capital stores,पूंजीगत सामान
capital strike,पूंजी नि‍वेशबंदी
capital structure,पूंजी वि‍न्यास
capital sum,पूंजीगत राशि
capital to risk asset ratio,"जोखि‍म-भारि‍त आस्ति, परि‍संपत्ति की तुलना में पूंजी का अनुपात"
capital turnover ratio,पूंजी आवर्त अनुपात
capital using device,पूंजी प्रयोग उपाय
capital value,पूंजीगत मूल्य
capital deposit ratio,पूंजी-जमा अनुपात
capital input ratio,पूंजी-नि‍वि‍ष्टि अनुपात
capitalistic economy,पूंजीवादी अर्थव्यवस्था
capitalistic production,पूंजीमूलक उत्पादन
capitalization,पूंजीकरण
capitalization of income,आय का पूंजीकरण
capitalization of reserve,आरक्षि‍त नि‍धि का पूंजीकरण
capitalized expenses,पूंजीकृत व्यय
capitalized profit,पूंजीकृत लाभ
capital-labour ratio,पूंजी-श्रम अनुपात
capital-output ratio,पूंजी-उत्पादन अनुपात
capital-poor economy,कम पूंजीवाली अर्थव्यवस्था
captain of industry,उद्योग-अग्रणी
captive bank,आबद्ध बैंक
captive consumption,आबद्ध उपभोग
captive domestic market,आबद्ध देशी बाजार
captive institutional agent,आबद्ध सांस्थानि‍क एजेंट
captive market,आबद्ध बाजार
captive mines,आबद्ध खानें
carbon credit,कार्बन क्रेडि‍ट
carbon trading,कार्बन व्यापार
card swipe system,कार्ड स्वाइप प्रणाली
cargo,जहाज में लदा माल
cargo bearing vessel,मालवाही जहाज
cargo clearance return,माल नि‍कासी वि‍वरणी
cargo handling facility,माल चढ़ाने-उतारने की सुवि‍धा
cargo manifest,माल सूची
cargo policy,माल बीमा-पॉलि‍सी
carriage and carter charge,वहन तथा ढुलाई प्रभार
carriage inward outward,आवक-जावक ढुलाई
carried down,तलशेष
carried forward,आगे ले जाया गया
carrier,जहाज
carrier's risk,वाहक का जोखि‍म
carry back of losses,पि‍छले लाभ से घाटा-पूर्ति‍
carry forward of losses,अगले लाभ से घाटा-पूर्ति
carry over stock,पि‍छला स्टॉक
carry over,आगे बढ़ाना
carry trade,प्रति‍फल संवाहक व्यापार
carrying charge,वहन प्रभार
carrying cost,रखाव लागत
carrying trade,ढुलाई व्यापार
cartel,उत्पादक-संघ
cartelization,व्यवसायी-समूहन
CASA deposits,कासा जमाराशि‍यां
case,मामला
case in need,संपर्की व्यक्ति
case manager,प्रकरण प्रबंधक
case study,"वृत्त , मामले का अध्ययन"
cash,नकदी
cash account,"नकदी , रोकड़ खाता"
cash advance,नकद अग्रि‍म
cash against documents,"प्रलेखों पर अदायगी , भुगतान"
cash at bank,"बैंक  में नकदी , रोकड़"
cash back offer,नकदी वापसी प्रस्ताव
cash balance,नकदी शेष
cash book,"नकदी ,रोकड़ बही"
cash box,"नकदी पेटी , बॉक्स"
cash budgeting,नकदी बजट-नि‍र्धारण
cash buyer,"नकद क्रेता , खरीदार"
cash compensatory scheme,नकदी प्रति‍पूरक योजना
cash compensatory support,"नकदी प्रति‍पूरक समर्थन, सहायता"
cash control,नकदी नि‍यंत्रण
cash cow,कामधेनु
cash credit,"नकदी ऋण , उधार"
cash credit accommodation,"नकदी ऋण नि‍भाव , सहायता"
cash credit facility,नकदी ऋण सुवि‍धा
cash credit limit,नकदी ऋण सीमा
cash crop,नकदी फसल
cash deposit,"नकद जमा, नकदी जमा"
cash deposit ratio,नकदी जमा अनुपात
cash discount,"नकद बट्टा ,नकद छूट"
cash dispenser,नकदी भुगतान मशीन
cash flow statement,नकदी प्रवाह वि‍वरण
cash forecast,नकदी का पूर्वानुमान
cash generation capacity,नकदी नि‍र्माण की क्षमता
cash import licence,नकदी आयात लाइसेंस
cash in hand,हाथ में नकदी
cash in transit,"मार्गस्थ नकदी ,मार्गस्थ रोकड़"
cash incentive and duty drawback  scheme,नकद प्रोत्साहन और शुल्क वापसी योजना
"cash inward,outward register","आवक,जावक नकदी रजि‍स्टर"
cash market,नकदी बाजार
cash memo,नकदी पर्ची
cash nexus,नकदी लेनदेन का संबंध
cash on hand with banks,"बैंकों के पास नकदी ,बैंकों के पास रोकड़"
cash payment,"नकद अदायगी ,नकद भुगतान"
cash pooling services,नकदी आपूरण सेवाएं
cash position ratio,नकदी स्थि‍ति अनुपात
cash price,नकद कीमत
cash purchase,"नकद खरीद ,नकद क्रय"
cash rates,नकद दरें
cash recycling,नकदी पुनर्नि‍वेश
cash refund,नकद वापसी
cash remittances,"नकदी वि‍प्रेषण, रोकड़ वि‍प्रेषण"
cash replenishment,नकदी पुन:पूर्ति
cash requisition register,नकदी मांग रजि‍स्टर
cash reserve ratio,आरक्षि‍त नकदी नि‍धि अनुपात
cash reserve requirements,आरक्षि‍त नकदी नि‍धि अपेक्षाएं
cash rich company,नकदी संपन्न कंपनी
cash rich minerals,महंगे खनि‍ज
cash sales,नकद बि‍क्री
cash settled contract,नकद नि‍पटान संवि‍दा
cash settlement,नकद नि‍पटान
cash subscription,नकद अभि‍दान
cash subsidy,नकद सब्सि‍डी
cash system of accounting,नकद आय लेखावि‍धि‍
cash transaction,"नकदी लेनदेन, रोकड़ लेनदेन"
cash transfer,नकदी अंतरण
cash van,नकदी वाहन
cash yielding tree,नकद आय देने वाले पेड़
cash zero date,शून्य नकदी दि‍नांक
cash-cum-conversion loan,नकद-व-रूपांतरण ऋण
cashed cheque,भुनाया गया चेक
cashier's scroll,खजांची की सूची
cash-strapped states,नकदी की कमी वाले राज्य
casting vote,नि‍र्णायक मत
casual and non- recurring receipt,आकस्मि‍क और अनावर्ती प्राप्ति
casual indent,आकस्मि‍क मांगपत्र
casual remittance,"आकस्मि‍क धनप्रेषण, अनि‍यत धनप्रेषण"
casual worker,अनि‍यत श्रमि‍क
catch crop,अंतरवर्ती फसल
cause,हेतुक
cause of action,वाद हेतुक
caution listing,"सतर्कता सूची में नाम सम्मि‍लि‍त करना,सतर्कता सूची में नाम सम्मि‍लि‍त चढ़ाना"
caution money,अवधान राशि
cautionary advice,सतर्कता संबंधी सूचना
caveat emptor,क्रेता सावधान
caveat vendor,वि‍क्रेता सावधान
ceiling for loans,ऋणों की उच्चतम सीमा
ceiling price,"अधि‍कतम कीमत, उच्चतम कीमत"
ceiling rates,उच्चतम दरें
central account,केंद्रीय लेखा
central bank,केंद्रीय बैंक
central co-operative bank,मध्यवर्ती सहकारी बैंक
central exchequer,केंद्रीय राजकोष
central financing agency,केंद्रीय वि‍त्तपोषक एजेंसी
central financing agency institution,केंद्रीय वि‍त्तपोषक संस्था
central land development bank,केंद्रीय भूमि वि‍कास बैंक
central monetary institution,केंद्रीय मौद्रि‍क संस्था
central planning agency,केंद्रीय आयोजना एजेंसी
centralization of industry,उद्योग का केंद्रीयकरण
centralized planning,केंद्रीकृत आयोजना
cenvat credit (central value added tax credit),केंद्रीय मूल्ययोजि‍त कर जमा
certificate of  cancellation,नि‍रसन प्रमाणपत्र
certificate of  cheque,चेक प्रमाणपत्र
certificate of  debts,कर्ज प्रमाणपत्र
certificate of  deduction,कटौती प्रमाणपत्र
certificate of  deposit,जमा प्रमाणपत्र
certificate of  insurance,बीमा प्रमाणपत्र
certificate of  origin,मूल स्थान का प्रमाणपत्र
certificate of registration,पंजीकरण प्रमाणपत्र
certificate of  transfer,अंतरण का प्रमाणपत्र
certificate of auditor,लेखा-परीक्षक का प्रमाणपत्र
certificate of authorisation,प्राधि‍कार प्रमाणपत्र
certificate of balance,शेषराशि का प्रमाणपत्र
certificate of credit,साख प्रमाणपत्र
certificate of damage,क्षति प्रमाणपत्र
certificate of destruction,नष्ट करने का प्रमाणपत्र
certificate of holding,धारि‍ता प्रमाणपत्र
certificate of identity,पहचान प्रमाणपत्र
certificate of incorporation,नि‍गमन प्रमाणपत्र
certificate of indemnity,क्षति‍पूर्ति प्रमाणपत्र
certificate of merit,श्रेष्ठता प्रमाणपत्र
certificate of shares,शेयरों का प्रमाणीकरण
certificate of stability,स्थि‍रता  प्रमाणपत्र
certified cheque,प्रमाणि‍त चेक
certify,प्रमाणि‍त करना
cess,उपकर
cession,"अध्यर्पण (संपत्ति आदि के संबंध में हक छोड़ना) ,स्वत्व-त्याग"
chain marketing,श्रृंखलाबद्ध वि‍पणन
chain of endorsements,पृष्ठांकन श्रृंखला
chain rate,श्रृंखला दर
challan,चालान
chamber of commerce,वाणि‍ज्य  मंडल
channel finance,"चैनल वि‍त्त, श्रृंखलाबद्ध वि‍त्त"
channel financing,श्रृंखलाबद्ध वि‍त्तपोषण
channel migration,माध्यम परि‍वर्तन
channel of distribution,वि‍तरण माध्यम
character of investment,नि‍वेश का स्वरूप
character of security,जमानत का स्वरूप
charge,प्रभार
charge allowance,कार्यभार भत्ता
charge back,प्रभार वापसी
charge created,सृजि‍त ऋण-भार
charge on a company's assets,कंपनी की आस्ति‍यों पर ऋण-भार
charge on land,भूमि पर प्रभार
chargeable accounting period,प्रभार्य लेखा-अवधि
charged expenditure,प्रभारि‍त व्यय
charges,प्रभार
charges account,प्रभार लेखा
charges schedule,प्रभार अनुसूची
charging order,प्रभार आदेश
charitable,धर्मार्थ
charred notes,जले हुए नोट
charter,अधि‍कार-पत्र
charter of demands,मांग-पत्र
chartered accountant,सनदी लेखाकार
chartered company,अधि‍कारपत्र-प्राप्त कंपनी
chartered ship,कि‍राए पर लि‍या हुआ जहाज
chattel mortgage,चल संपत्ति बंधक
cheap money,"सस्ती ब्याज मुद्रा, अल्प ब्याज मुद्रा"
cheaper rate,कम दर
check off,चंदा कटौती
check register,जांच रजि‍स्टर
chemical fertilizer,रासायनि‍क उर्वरक
cheque book,चेक बुक
cheque clearance,चेक समाशोधन
cheque currency,चेक करेंसी
cheque imaging,चेक चि‍त्र-प्रेषण (कंप्यूटर पर)
cheque kiting,चेक धोखाधड़ी
cheque passed,पारि‍त चेक
cheque returned register,चेक वापसी रजि‍स्टर
cheque truncation,चेक ट्रंकेशन (चेक के महत्वपूर्ण अंशों का इलेक्ट्रॉनि‍क प्रेषण)
chequelets,चेक-पर्चि‍यां
chest,ति‍जोरी
chest facilities,ति‍जोरी सुवि‍धाएं
chest money,ति‍जोरी-रोकड़
chest verified,सत्यापि‍त ति‍जोरी
