English,Hindi
Consumption,"उपभोग,खपत"
Contact,संपर्क
Contact programme,संपर्क कार्यक्रम
Contagious disease,सांसर्गिक रोग
Contain," समाविष्‍ट करना , रोकना"
Contemplate," ध्यानपूर्वक विचार करना, अनुध्यान करना"
Contemporary,"समसामयिक,समकालीन"
Contempt of court,न्यायालय की अवमानना
Contention," विवाद ,दावा ,प्रतिविरोध "
Contents," विषय सूची ,अंतर्वस्तु, अंश"
Contest," विवाद ,प्रतियोगिता ,लड़ना"
Context,"प्रसंग, संदर्भ "
Contingencies,आकस्मिक व्यय
Contingency," संभाव्य स्थिति , आकस्मिकता , प्रासंगिकता"
Contingency allowance,आकस्मिकता भत्‍ता
Contingency fund,आकस्मिकता निधि
Contingency grant,प्रांसगिक अनुदान
Contingency plan,आपात-निर्वाह योजना
Contingent charges,"आकस्मिक प्रभार,फुटकर ख़र्च"
Continuous appointment,सतत नियुक्‍ति
Continuous development,सतत विकास
Continuous process,सतत प्रक्रिया
Continuous service,सतत सेवा
Contraband,विनिषिद्‌ध
Contract,"ठेका,संविदा"
Contract deed,संविदा विलेख
Contract of employment,नियोजन संविदा
Contract period,"संविदा की अवधि, ठेके की अवधि"
Contractual document,"ठेका प्रलेख, संविदा प्रलेख"
Contractual liability,संविदागत देयता
Contractual service,संविदा सेवा
Contradiction," खंडन , परस्पर-विरोध"
Contradictory statement,विरोधात्मक कथन
Contrary,"प्रतिकूल,विपरीत"
Contravention,उल्लंघन
Contribution,"योगदान , अंशदान , चंदा"
Contributory pension scheme,अंशदायी पेन्शन योजना
Contributory provident fund,अंशदायी भविष्य निधि
Control,नियंत्रण
Controlling officer,नियंत्रण अधिकारी
Controversial,विवादास्पद
Controversial matter,विवादास्पद मामला
Controversy,विवाद
Convenience,सुविधा
Convention," परिपाटी,रूढि ,समागम"
Conventional,"रूढ़,रूढिगत"
Conversant,"अवगत, परिचित"
Convert," परिवर्तित करना, संपरिवर्तित "
Converted leave,संपरिवर्तित छुट्टी
Conveyance," वाहन, सवारी , हस्तांतरण "
Conveyance allowance,वाहन भत्‍ता
Conveyance deed,हस्तांतरण विलेख
Conveyance expenses,"वाहन व्यय,सवारी खर्च"
Convict," सिद्‌धदोष ,सिद्‌धदोष ठहराना, दोष सिद्‌ध करना"
Conviction," दोषसिद्‌धि , दृढ़विश्‍वास"
Convocation,दीक्षांत समारोह
Cooling off period,उपशमन अवधि
Cooperation," सहयोग , सहकारिता"
Cooperative," सहकारी , सहयोगशील"
Cooperative society,सहकारी समिति
Co-opt,सहयोजित करना
Co-opted member,सहयोजित सदस्य
Co-ordination,"समन्वय,तालमेल, समन्वयन"
Co-owner,सहस्वामी
Co-partner,सहभागीदार
Copy," प्रतिलिपि,नक़ल ,प्रति , कॉपी"
Copying,"प्रतिलिपिकरण, प्रतियाँ बनाना"
Copyright,"स्वत्वाधिकार,प्रतिलिप्याधिकार, कॉपीराइट"
Cordial,सौहार्दपूर्ण
Coroner,मृत्यु समीक्षक
Corporate body,निगमित निकाय
Corporate planning,कंपनी आयोजना
Corporation,निगम
Corporation tax,निगम कर
Correction,"शुद्‌धि, शोधन, सुधार"
Corrective measures (=correctives),सुधारक उपाय
Correspondence,"पत्राचार,पत्रव्यवहार"
Correspondence course,पत्राचार पाठ्यक्रम
Correspondence portion,पत्राचार भाग
Correspondent,संवाददाता
Corresponding,"तदनुरूप,तदनुसार, तत्समान"
Corrigendum,शुद्‌धि-पत्र;भूल सुधार
Corroborate,संपुष्‍टि करना
Corroboration,संपुष्‍टि
Corrupt,"भ्रष्‍ट,भ्रष्‍ट करना"
Corruption,भ्रष्‍टाचार
Corrupt practice,भ्रष्‍ट आचरण
Cosmopolitan city,विश्‍वनगर
Cost,लागत
Cost accountant,लागत लेखाकार
Cost analysis,लागत विश्‍लेषण
Cost ceiling,लागत सीमा
Cost effectiveness,"लागत की किफायत, लागत प्रभाविता"
Cost of living,निर्वाह व्यय
Cost overrun,लागत अतिक्रमण
Cottage industry,कुटीर उद्‌योग
Council,परिषद्
Council of ministers,"मंत्री परिषद्,मंत्रिपरिषद्"
Council of states,राज्य सभा
Counsel," काउंसेल ,परामर्श देना,मंत्रणा देना"
Counselling," परामर्श, परामर्श सेवा, उपबोधन"
Counter," काउंटर,पटल ,प्रति,जवाबी ,गणित्र"
Counter action,जवाबी कार्रवाई
Counter affidavit,"प्रति-शपथपत्र,जवाबी हलफ़नामा"
Counter charge,प्रत्यारोप
Counter claim,प्रतिदावा
Counterfeit currency,"जाली मुद्रा, जाली करेंसी"
Counterfeiting," जालसाजी , कूटकरण"
Counterfoil,"प्रतिपर्ण,अधपन्ना"
Counter offer,प्रतिप्रस्ताव
Countersign,प्रतिहस्ताक्षर करना
Coup ,"बलात् राजपरिवर्तन, तख्ता-पलट"
Coupon,कूपन
Courier,"वार्ताहर,कूरियर"
Courier service,कूरियर सेवा
Course," मार्ग,दिशा ,क्रम,,प्रक्रिया , पाठ्यक्रम"
Courses of study,पाठ़्यक्रम
Court case,"अदालती मामला, न्यायालयी प्रकरण"
Courtesy,"सौजन्य,शिष्‍टाचार"
Court of small causes,लघुवाद न्यायालय
Covenant,प्रसंविदा
Cover," आवरण,लिफ़ाफ़ा , संरक्षण"
Coverage," व्याप्ति , संरक्षण , समावेशन, कवरेज"
Covering letter,सहपत्र
Covering memo,"सहज्ञापन, सहमेमो"
Covering note,सह टिप्पणी
Crash programme,द्रुत कार्यक्रम
Creamy layer,नवोन्नत वर्ग
Creation,"सर्जन, रचना, निर्माण"
Creative,सर्जनात्मक
Creativity,"सर्जनशीलता, सर्जनात्मकता"
Creche,"शिशु सदन,बालवाड़ी"
Credentials committe,प्रत्ययपत्र समिति
Credibility,"विश्‍वसनीयता,साख"
Credit," ऋण, उधार ,साख ,जमा"
Creditable,"प्रशंसनीय,सराहनीय"
Credit advice,जमा संज्ञापन
Credit and thrift society,बचत और उधार समिति
Credit card,क्रेडिट कार्ड
Credit facilities,"उधार सुविधाएं, ऋण सुविधाएं"
Credit entry,जमा प्रविष्‍टि
Credit note,जमा पत्र
Creditor,"लेनदार,ऋणदाता"
Cremation,दाह संस्कार
Cremation ground,"श्‍मशान भूमि, शवदाहगृह"
Crew,कर्मीदल
Crime,अपराध
Criminal breach of trust,आपराधिक विश्‍वास भंग
Criminal court,"दंड न्यायालय, फ़ौजदारी अदालत"
Criminal negligence,"आपराधिक उपेक्षा, घोर उपेक्षा"
Criminal offence,"दंडनीय अपराध, दांडिक अपराध"
Criminal procedure code,दंड प्रक्रिया संहिता
Crisis,संकट
Crisis management,संकट प्रबंधन
Criterion,"मानदंड,कसौटी"
Criticism,आलोचना
Cross," क्रॉस लगाना;काट देना , संकर,"
Cross breed,संकर नस्ल
Cross checking,दुतरफ़ा पड़ताल
Crossed cheque,"क्रॉस चैक,रेखित चैक"
Cross examination,प्रतिपरीक्षा;जिरह
Cross reference,परस्पर संदर्भ
Cross voting,पक्षांतर मतदान
Crucial date,निर्णायक तिथि
Crude," कच्चा;अपरिष्कृत, अशोधित , अशिष्‍ट "
Culpable homicide,आपराधिक मानव वध
Culprit," अपराधी,दोषी , अभियुक्‍त"
Cultivation," खेती , कृषि , संवर्धन"
Cultural exchange programme,सांस्कृतिक विनिमय कार्यक्रम
Cumulative,संचयी
Currency,"मुद्रा, करेंसी"
Currency exchange,मुद्रा विनिमय
Currency note,करेंसी नोट
Current,"चालू,प्रचलित, वर्तमान"
Current account,चालू खाता
Current duties,वर्तमान कर्तव्यभार
Current session,"चालू सत्र,चालू अधिवेशन"
Curriculum vitae ,जीवनवृत्‍त
Curtail,कम करना
Custodian,अभिरक्षक
Custody," अभिरक्षा ,हिरासत"
Custom,"रूढ़ि, प्रथा"
Custom,सीमा शुल्क
Customary,"रूढिगत, प्रथागत"
Customary procedure,प्रथागत प्रक्रिया
Custom duty,सीमा शुल्क
Customer,"ग्राहक,गाहक"
Customer friendly,ग्राहक हितैषी
Custom examination,सीमा-शुल्क जाँच
Cut down,कम करना
Cut motion,कटौती-प्रस्ताव
Cut off date,विभेदक तिथि
Cycle,चक्र
Daily,दैनिक
Daily allowance,दैनिक भत्‍ता
Daily diary,"दैनिक डायरी,दैनिकी,दैनंदिनी, रोजनामचा"
Daily register,दैनिक रजिस्टर
Daily report,दैनिक रिपोर्ट
Daily routine,"दैनिक कार्य,रोज़ का काम"
Daily wages,"दैनिक मज़दूरी,दिहाड़ी"
Dak stage,डाक स्तर
Dak tray,डाक ट्रे
Damage,"क्षति, हानि, नुकसान"
Damages," नुक़सानी  , हर्जाना"
Dangerous,खतरनाक
Daring,"साहसी, साहसिक, निर्भीक"
Data,"आधार सामग्री;आंकड़े,डाटा"
Data bank,आकंडा बैंक
Data base,आंकड़ा संचय
Data collection," आंकड़ा संग्रहण , आधार-सामग्री संग्रहण"
Data feeding,आंकडा भरण
Data processing,आंकड़ा संसाधन
Date,"दिनांक,तारीख़,तिथि"
Date of arrival,"आगमन तिथि,आने की तारीख़"
Date of birth,जन्म तिथि
Date of departure,"प्रस्थान तारीख,जाने की तारीख़"
Date of discharge,"कार्यमुक्‍ति तारीख,  छुट्टी की तारीख"
Date of maturity,परिपक्वता तारीख
Date of receipt,"प्राप्ति तारीख, प्राप्ति तिथि"
Date stamp,"तारीख़ मोहर, दिनांकन"
Day scholar,अनावासी छात्र
Day shift,दिन की पारी
Days of grace,रियायती दिन
Day to day work,"दैनंदिन कार्य, रोजमर्रा का काम"
Dead account,निष्क्रिय खाता
Dead line,समय सीमा
Deadlock,गतिरोध
Dead stock register,जड़ स्टॉक रजिस्टर
Dead weight,कुल भार
Deal," सौदा ,व्यवहार करना"
Dealing assistant,संबंधित सहायक
Dealing,"व्यवहार,लेनदेन"
Death anniversary,पुण्यतिथि
Dearness allowance,महंगाई भत्‍ता
Death benefit,मृत्यु हितलाभ
Death-cum-retirement gratuity,मृत्यु-सह-निवृत्‍ति उपदान
Death in service,सेवा के दौरान मृत्यु
Deauthorizatioin,प्राधिकार निरसन
Debar,"रोकना,विवर्जित करना "
Debit,"नामे,नामे डालना"
Debit advice,नामे संज्ञापन
Debt,ऋण
Debt management,ऋण प्रबंधन
Debtor,"ऋणी, देनदार"
Deceased,"मृत, मृतक, दिवंगत"
Decency,शिष्‍टता
Decentralization,विकेंद्रीकरण
Deciding factor,निर्णायक कारक
Decision,"निर्णय,फैसला;विनिश्‍चय "
Decision making,निर्णयन
Decision making process,निर्णयन प्रक्रिया
Declaration,घोषणा
Declaration of income,आय की घोषणा
Declared value,घोषित मूल्य
Declare on oath,"सशपथ घोषित करना,शपथपूर्वक घोषणा करना"
Decode,कूट वाचन
Decontrol,"विनियंत्रण, नियंत्रण हटाना"
Decorum,शिष्‍टता;शालीनता;मर्यादा
Decrease,"घटत,कमी"
Decree,"डिगरी,डिक्री"
Dedication,समर्पण
Deductible,कटौती-योग्य
Deduction,"कटौती,घटाव"
Deduction at source,स्रोत पर कटौती
Deduction from salary,वेतन से कटौती
Deed,विलेख 
Deed of mortgage,बंधक विलेख
Deemed university,मानित विश्‍वविद्‌यालय
Deface,"विरूपित करना, विकृत करना"
De facto,वस्तुतः
Defalcation,ग़बन
Defamation,मानहानि
Default," चूक,व्यतिक्रम ,बक़ाया"
Defaulter," चूक करने वाला ,बक़ायादार,बाक़ीदार"
Defective,"सदोष, त्रुटिपूर्ण"
Defence," रक्षा,बचाव ,प्रतिवाद "
Defence counsel,बचाव काउंसेल
Defence production,रक्षा-उत्पादन
Defendant,प्रतिवादी
Defer,आस्थगित करना
Deferred expenditure,आस्थगित व्यय
Defiance,अवज्ञा
Deficit,"घाटा,कमी"
Deficit budget,घाटे का बजट
Define," निश्‍चित करना ,परिभाषा देना"
Defy,अवज्ञा करना
Degradation," पद घटाना,ग्रेड घटाना , निम्नीकरण"
Degree," डिग्री,उपाधि, उपाधिपत्र ,मात्रा ,अंश ,कोटि,घात"
Dejure,विधितः
Delay,विलंब
Delegate," प्रतिनिधि ,प्रत्यायोजित करना"
Delegated authority,प्रत्यायोजित प्राधिकार
Delegation," प्रतिनिधि मंडल, शिष्‍टमंडल ,प्रत्यायोजन"
Delegation of powers,शक्‍तियों का प्रत्यायोजन
Delete,"हटाना, निकालना"
Deletion,"लोप,हटा दिया जाना"
Deliberately,जानबूझकर
Deliberation,विचार-विमर्श
Delicencing," लाइसेंस रद्‌द करना,लाइसेंस हटाना"
Delimitation,परिसीमन
Deliver," देना,सौंपना ,जन्म देना,जनना"
Delivery," वितरण, सुपुर्दगी, परिदान ,प्रसव"
Demand,"मांग,अभियाचना"
Demand note,मांग नोट
Demarcation,सीमांकन
Demi-official,अर्ध-शासकीय
Democracy,लोकतंत्र
Demonstration," प्रदर्शन , निदर्शन ,निरूपण"
Demoralization,"मनोबल-ह्रास, नैतिक पतन"
Demurrage,"विलंब-शुल्क,डेमरेज"
Denial," इनकार, नकार , प्रत्याख्यान "
Denomination," अभिधान ,अंकित मूल्य , मूल्यवर्ग , पंथ"
De novo,नए सिरे से
Deny," प्रत्याख्यान करना ,नकारना"
Depart," प्रस्थान करना,रवाना होना ,विचलित होना,हटना ,दिवंगत होना"
Department,विभाग
Departmental,विभागीय
Departmental action,विभागीय कार्रवाई
Departmental enquiry,विभागीय जांच
Departmental investigation,विभागीय जांच-पड़ताल
Departmental irregularity,विभागीय अनियमितता
Departmental library,विभागीय पुस्तकालय
Departmental negligence,विभागीय उपेक्षा
Departmental permission,विभागीय अनुमति
Departmental qualifying examination,विभागीय अर्हक परीक्षा
Departure," प्रस्थान ,  विचलन"
Dependency certificate,आश्रितता प्रमाणपत्र
Dependent,आश्रित
Dependent children,आश्रित संतान
Deploy,परिनियोजित करना
Deponent,अभिसाक्षी
Deportation,"देश-निकाला,विवासन"
Depose,अभिसाक्ष्य देना
Deposit,"निक्षेप,जमा"
Depot,"डिपो,आगार"
Depreciation,"मूल्यह्रास,अवक्षय"
Depressed class,दलित वर्ग
Deprive,वंचित करना
Deputation," प्रतिनियुति , शिष्‍टमंडल"
Deputation allowance,प्रतिनियुक्‍ति भत्‍ता
Deputy,उप
Deregistered,विपंजीकृत
Dereliction of duty,कर्तव्य की अवहेलना
Dereservation,वि-आरक्षण
Derogation," अनादर , अल्पीकरण"
Derogatory,अनादरसूचक
Derogatory remark,अनादरसूचक अभ्युक्‍ति
Descendant,वंशज
Description,"वर्णन,विवरण"
Deserving,सुपात्र
Design,"अभिकल्प,डिज़ाइन"
Designate," नामोद्‌दिष्‍ट करना, नामोद्‌दिष्‍ट , मनोनीत, अभिहित करना"
Designation,पदनाम
Despatch,"प्रेषण,रवानगी,प्रेषित करना,रवाना करना,भेजना"
Despatch note," प्रेषण नोट ,रवानगी पत्र"
Despatch register,प्रेषण रजिस्टर
Destination," गंतव्य , लक्ष्य"
Destitute,"निराश्रित, बेसहारा"
Detail," ब्योरा , काम पर भेजना"
Detailed,"विस्तृत, ब्योरेवार"
Detect,पता लगाना
Detention," निरोध , रोक देना "
Detenu,"नजरबंद, निरूद्‌ध व्यक्‍ति"
Determination," निर्धारण , अवधारण ,संकल्प"
Deterrence,प्रतिवारण
Detriment,अहित
Detrimental,अहितकर
Devaluation,अवमूल्यन
Devastation,"विध्वंस,विनाश"
Development,विकास
Deviate,विचलित होना
Device," युक्‍ति , साधन"
Devotion,निष्ठा
Diagnose,निदान करना
Diagram,आरेख
Diary,"डायरी, दैनिकी,दैनंदिनी"
Dictation,"श्रुतलेख,बोलकर लिखाना"
Dies non,"अकार्य दिवस,अदिन"
Diet,आहार
Digest,"सार-संग्रह,चयनिका"
Dignified,गरिमापूर्ण
Dignity,गरिमा
Digression,विषयांतरण
Dilatory,विलंबकारी
Dilemma,दुविधा
Diligent,"अध्यवसायी,परिश्रमी"
Dimension,"विमा,विस्तार"
Diploma,डिप्लोमा
Diplomacy," राजनय ,कूटनीति"
Diplomatic immunity,राजनयिक उन्मुक्‍ति
Direct," प्रत्यक्ष,सीधा ,निदेश देना"
Direct competition,सीधी प्रतियोगिता
Direct interview,सीधा साक्षात्कार
Direction,"निदेश,निदेशन"
Directory,निर्देशिका
Direct recruit,सीधे भर्ती(व्यक्‍ति)
Disallow,नांमजूर करना
Disability," अशक्‍ततता  , निर्योग्यता , अपंगता, अपांगता"
Disabled person,अशक्‍त व्यक्‍ति
Disablement benefit," अशक्‍तता हित लाभ , अपंगता हित लाभ, अपांगता हितलाभ"
Disadvantage,अपहित
Disagree,"असहमत होना,असहमति"
Disallowed,नामंजूर
Disapproval,निरनुमोदन
Disaster,विपदा
Disaster management,विपदा प्रबंधन
Disband,"तोड़ देना,भंग करना"
Disbursement,संवितरण
Discard,"अलग करना,हटा देना, निकाल देना, व्यक्‍त करना"
Discharge,"  निर्वहन, पालन ,ऋण उन्मोचन , सेवा-मुक्‍ति, कार्य-मुक्‍ति ,  छुट्‌टी"
Discharge slip,छुट्टी की पर्ची
Disciplinary action,अनुशासनिक कार्रवाई
Disciplinary procedure,अनुशासनिक प्रकिया 
Discipline,अनुशासन
Disclaim," दावा छोड़ना, दावा त्यागना ,अस्वीकार करना"
Disclosure,"प्रकटन, प्रकटीकरण"
Discontent,असंतोष
Discontinuance," समापन , समाप्ति, रोक"
Discontinue,"बंद करना, रोकना, समाप्त करना"
Discord,"अनबन, मतभेद"
Discount,"बट्टा, छूट"
Discover,"खोजना, पता लगाना"
Discredit," अविश्‍वसनीय मानना,साख गिराना"
Discrepancy,विसंगति
Discretion,विवेक
Discretionary grant,विवेकानुदान
Discretionary power,विवेकाधिकार
Discrimination,"भेदभाव, विभेद"
Discussion," विचार-विमर्श,चर्चा ,बहस"
Dishonest,बेईमान
Dishonour ,"  अस्वीकार करना, नकारना ,अनादर करना"
Disintegration,विघटन
Disk,डिस्क
Dislocation," विस्थापन , विस्थानन , अस्तव्यस्त हो जाना"
Disloyal,निष्ठाहीन
Dismiss," पदच्युत करना,बरख़ास्त करना ,खारिज करना"
Dismissal,"पदच्युति,बरख़ास्तगी"
Dismissal procedure,बरख़ास्तगी प्रकिया
Disobey,"आज्ञा न मानना,अवज्ञा करना"
Disorder," अव्यवस्था,गड़बड़ी, शांति भंग"
Disorganise,अव्यवस्थित करना/होना
Disparity,असमानता
Dispatch section,प्रेषण अनुभाग
Dispensable,परिहार्य
Disperse,"विसर्जित होना,तितर-बितर करना या होना"
Displaced,विस्थापित
Display," सज्जा, सजावट , प्रदर्शन, प्रदर्शित करना"
Displeasure,"अप्रसाद,नाखुशी"
Disposal," निपटान,निवर्तन ,व्ययन"
Dispose of," निपटाना , बेचना"
Disposition,"प्रवृत्‍ति,स्वभाव"
Dispossess,"बेकब्ज़ा करना, कब्जा छीनना"
Dispute,"विवाद, झगड़ा"
Disqualification,निरर्हता
Disregard,अवहेलना
Disruption," विच्छिन्नता ,बाधा ,भंग, भंग करना"
Dissatisfaction,असंतोष
Dissent,"विमति, विसम्मति "
Disservice,"अपकार, कुसेवा"
Dissociate," वियोजित करना,असंबद्‌ध होना,अलग होना"
Dissolution," भंग,विघटन"
Dissolve," विघटित करना ,भंग करना"
Distance learning,दूरस्थ अधिगम
Distillery," मद्‌य निर्माणशाला , आसवनी"
Distinct," भिन्न,अलग,सुभिन्न  , सुस्पष्‍ट, सुव्यक्‍त"
Distinguish," भेद करना , विशिष्‍टता पाना"
Distortion," विकृति  ,तोड़-मरोड़"
Distress,"विपत्‍ति,कष्‍ट"
Distribute,"वितरण करना,बाँटना"
Distribution,"वितरण,बंटन"
District,"जिला,जनपद"
District centre," डिस्ट्रिक्टसेंटर,व्यावसायिक केंद्र , जिला केंद्र, प्रधान केंद्र"
Disturbance," उपद्रव ,गड़बड़ी,अशांति , बाधा"
Ditto,"यथोपरि,जैसे ऊपर"
Diversion," विषयांतर ,पथांतर,पथांतरण ,  अपयोजन"
Dividend,लाभांश
Division,"  प्रभाग , मंडल, डिवीजन , विभाजन , श्रेणी , डिवीजन"
Divorce,"तलाक़,विवाह-विच्छेद,तलाक़ देना,विवाह-विच्छेद करना"
Docket,डॉकेट
Doctor,"डॉक्टर,चिकित्सक"
Document,"दस्तावेज़,प्रलेख"
Documentary evidence,दस्तावेजी साक्ष्य
Documentation,"प्रलेखीकरण,प्रलेखन"
Domicile,अधिवास
Domicile certificate,अधिवास प्रमाणपत्र
Dominant," प्रभावी , प्रबल, प्रधान"
Donation," दान, संदान , चंदा"
Dossier,"डोसियर, खरीता"
Doubtful,संदिग्ध
Dove tailing,क्रमवेशन
Down grade,अवनयन
Draft," दस्ता,टुकड़ी ,ड्राफ्ट ,प्रारूप, मसौदा"
Draft reply,उत्‍तर का मसौदा
Drastic measure,कठोर उपाय
Draw," आहरण ,निकालना, काटना,चैक लिखना"
Drawer," चेक काटने वाला, लेखीवाल , आहरणकर्ता , दराज"
Drawing," ड्राइंग,रेखाचित्र, आहरण"
Drought,"अनावृष्‍टि,सूखा"
Dry promotion,निर्लाभ पदोन्नति
Dual charge," दोहरा प्रभार , दोहरा कार्यभार"
Dual citizenship,दोहरी नागरिकता
Due," देय, प्राप्य , नियत"
Due diligence,सम्यक् तत्परता
Dues,देय राशि
Duly,"विधिवत,यथाविधि"
Duplicate,"दूसरी प्रति,अनुलिपि"
Duration,"अवधि, मियाद"
Duress,दबाव
Duty," ड्यूटी, कर्तव्य, कार्य, काम , शुल्क"
Duty allowance,ड्यूटी भत्‍ता
Duty chart,ड्यूटी चार्ट
Duty leave,इतर कार्यार्थ छुट्टी
Duty room,ड्यूटी कक्ष
Dying declaration,मृत्युकालिक कथन
Dynamics,गतिकी
Earmark,उद्‌दिष्‍ट करना
Earned leave,अर्जित छुट्टी
Earnings,"अर्जन, कमाई"
Eco-friendly,पर्यावरण-अनुकूल
Ecology,पारिस्थितिकी
Economic," आर्थिक, अर्थशास्त्रीय"
Economical exploitation," आर्थिक शोषण , आर्थिक संदोहन"
Economy,अर्थव्यवस्था
Economy class,किफ़ायती श्रेणी
Editing,संपादन
Edition,संस्करण
Editorial,सम्पादकीय
Education,शिक्षा
Educational career,शैक्षिक कैरियर
Educational institute,"शैक्षिक संस्थान, शिक्षा संस्थान"
Educational qualification,शैक्षिक अर्हता
Effect," प्रभाव ,परिणाम"
Effective," प्रभावी,कारगर ,वास्तविक"
Effective date,प्रभावी तिथि
Effects,मालमत्ता
Efficacy,प्रभावोत्पादकता
Efficiency,"दक्षता,कार्यकुशलता"
Efficient,दक्ष
Ejectment,बेदखली
Elaborate,"विस्तार से कहना, विशद"
Elapse,"बीतना,बीत जाना"
Elected representative,निर्वाचित प्रतिनिधि
Election,"निर्वाचन, चुनाव"
Electoral college," निर्वाचक मंडल, इलैक्टोरल कॉलेज"
Electorate," निर्वाचक मंडल , निर्वाचन क्षेत्र"
Electrification,विद्‌‌युतीकरण
Electronic media,इलेक्ट्रॉनिक संचार माध्यम
Elementary,प्रारंभिक
Eligibility,पात्रता
Eligibility test,पात्रता परीक्षण
Elimination,"निकाल देना,विलोपन"
Eloquence,वाक्-पटुता
Embarrass,उलझन में डालना
Embezzlement,ग़बन
Emblem,संप्रतीक
Embossing seal,उभरी मुहर
Emergency,"आपात,आपात काल"
Emergency relief,आपात राहत
Emergent,आपातिक
Emigration,उत्प्रवासन
Emoluments,परिलब्धियां
Empanelment,नामिका बनाना
Empathy,परानुभूति
Employ,"नियोजित करना , सेवायोजित करना ,प्रयोग करना, काम में लाना"
Employee,कर्मचारी
Employee participation,कर्मचारी सहभागिता
Employee’s contribution,कर्मचारी अंशदान
Employee’s provident fund,कर्मचारी भविष्य निधि
Employer,नियोक्‍ता
Employment," रोज़गार , सेवायोजन"
Employment exchange,रोज़गार कार्यालय
Employment notice,रोज़गार सूचना
Employment office,रोज़गार कार्यालय
Empower,सशक्‍त करना
Empowerment,सशक्तीकरण
Enact," अधिनियम बनाना ,अधिनियमित करना"
Enactment,अधिनियमन
En bloc,एक साथ
Encash,"  भुनाना , नकदीकरण"
Enclose,"साथ लगाना, अनुलग्न करना"
Encouragement,"उत्साहन, उत्साहवर्धन"
Encroachment,"अधिक्रमण, अतिक्रमण"
Encumbrance,"भारग्रस्तता, देयता-भार"
Endorse," पृष्‍ठांकन करना,समर्थन करना"
Endowment,अक्षय निधि
End product,अंतिम उत्पाद
Energy,ऊर्जा
Enforce,प्रवर्तन कराना
Engage,"  लगाना , नियुक्‍त करना"
Enhancement,"वृद्‌धि, बढोतरी"
Enjoin,आदेश देना
En masse,सामूहिक रूप से
Enquiry," पूछताछ , जांच"
Enrol,"भर्तीकरना,भर्तीहोना"
Enrolment (=enrollment)," भर्ती, नामांकन"
Enrolment number,नामांकन संख्या
Enroute,मार्ग में
Ensuing,आगामी
Ensure,"आश्‍वस्त करना,सुनिश्‍चित करना"
Enter," दर्ज करना,प्रविष्‍टि करना"
Enterprise,उद्‌यम
Entertain," मनोरंजन करना , ग्रहण करना"
Entertainment," मनोरंजन , सत्कार"
Entitle,"हक़दार होना,हक़दार बनाना"
Entitled,हक़दार
Entitlement,हक़दारी
Entrance,प्रवेश
Entrant,प्रवेशी
Entry," प्रविष्‍टि,इंदराज , प्रवेश"
Entry level job,प्रवेश स्तर का कार्य
Enumeration,"गणना,गिनना"
Environment,पर्यावरण
Envoy,दूत
Epidemic ,महामारी
Epitome,सार
Equality,"समता, समानता"
Equilibrium,संतुलन
Equipment,उपस्कर
Equity," साम्या ,  इक्विटी"
Equivalent," तुल्य, समतुल्य , समानार्थी"
Equivocal,द्‌‌वि-अर्थक
Eradicate,उन्मूलन करना
Errata,शुद्‌धि-पत्र
Error,"त्रुटि,भूल,ग़लती"
Escalation,स्वतः वृद्‌धि
Escort,अनुरक्षक
Essential,अनिवार्य
Establishment,स्थापना
Estimate," प्राक्कलन,आंकना , अनुमान"
Estimated cost,अनुमानित लागत
Ethics," नीतिशास्त्र , आचार नीति"
Etiquette,शिष्‍टाचार
Evacuation,निष्क्रमण
Evade,"अपवंचन करना, टालना"
Evaluation,मूल्यांकन
Even number,समसंख्या
Eventual,संभावित
Eviction,बेदख़ली
Evidence,"साक्ष्य,सबूत"
Evolve,विकसित करना
Exact," यथार्थ ,बिल्कुल ठीक ,निश्‍चित"
Examination,परीक्षा
Examinee,परीक्षार्थी
Examiner,परीक्षक
Example,उदाहरण
Excavation,उत्खनन
Excellent,"अत्युत्‍तम, उत्कृष्‍ट"
Exception,अपवाद
Exceptional," अपवादात्मक , असाधारण"
Excess,"अति,अधिकता"
Exchange,विनिमय
Exchequer,राजकोष
Excise (=excise duty),उत्पाद शुल्क
Exclude,"अपर्वजित करना, निकालना"
Exclusive,अनन्य
Excuse," माफ़ करना,क्षमा करना ,बहाना"
Execute," निष्पादन करना , कार्यान्वित करना"
Executive," कार्यपालिका , कार्यपालक ,  कार्यप्रबंधक ,  कार्यकारिणी"
Executive committee,कार्यकारिणी समिति
Executive power,कार्यपालक शक्‍ति
Executives,"अधिकारी वर्ग, कार्यपालक वर्ग"
Executive staff,कार्यपालक स्टॉफ
Exempt," छूट देना , छूट-प्राप्त"
Exemption,छूट
Exercise,"प्रयोग,प्रयोग करना"
Ex-gratia,"अनुग्रहपूर्वक, अनुग्रही"
Ex-gratia payment,अनुग्रही अदायगी
Exhaust,नि:शेष करना
Exhaustive,सर्वांगीण
Exhibit,"प्रदर्श,प्रदर्शित करना"
Exigency,तात्कालिक आवश्यकता
Exim policy,आयात-निर्यात नीति
Exit," निर्गम,निकास ,निकास द्‌वार,बहिगर्मन द्‌वार"
Exit interview,बहिगर्मन साक्षात्कार
Exit policy,बहिर्गमन नीति
Exit poll,निर्गम मतानुमान
Ex-officio,पदेन
Exonerate,माफी देना
Expansion," विस्तार ,प्रसार"
Ex-parte,एकपक्षीय
Expatriation," देश-निकाला, देश निष्कासन , देशत्याग , देश निष्‍ठा-त्याग"
Expedient,"समीचीन, कार्यसाधक"
