English,Hindi
biophotometer,"तमोनुकूलनमापित्र, बायोफोटोमीटर"
biophysics,जीवभौतिकी
biopsy,"जीवऊति परीक्षा, बायॉप्सी"
biosphere," जीवमंडल , जीवाणु"
biostatistics,जीवसांख्यिकी
biostructure,जीवसंरचना
biosynthesis,जीवसंश्लेषण
biota,जीव समूह
biotope,जीव स्थानिक
biotransformation,जैव रूपांतरण
biotrophy,"जीवं पोषण, बायोट्रॉफी"
biotype,समजीवी प्ररूप
bipartite,द्विभाजित
bipedalism (=bipedy),द्विपादीयता
bipennate (muscle),दृविपक्षक
bipolar,दविधुव्री
bisalbuminaemia,दृविऐल्बूमिन रक्तता
bis in die (b.i.d.b.d.),दिन में दो बार
bitemporal,दृविशंखी
bitters,तिक्तवर्ग
bivalence,द्विसंयोजकता
blackleg (black quarter symptomatic anthrax),कालापाद
blackout,क्षणिक अंधता
bladder," मूत्राशय, वस्ति , आशय"
blanched,"विवर्णित, रक्तहीन"
blast,प्रसू
blastema,"प्रसूकोशिका पुंज, ब्लास्टीमा"
blastopore,आन्त्रकन्दरा छिद्र
blastula,"बुद्बुद्‌, ब्लास्टूला"
bleach," विरंजक , विरंजन"
bleachery,विरंजन गृह
bleaching," विरंजक , विरंजन"
bleeder,रक्तस्रावशील
bleeding,"रक्तस्राव, रक्तस्रवण"
blejoharospasm (=blepharospasm),वर्त्म-आकर्ष
blender," संमिश्रण यंत्र , संमिश्रक (व्यक्ति)"
blepharadenitis (=blepharoadenitis),वर्त्मग्रन्थिशोथ
blepharitis,वर्त्मशोथ
blepharoclonus,वर्त्मावमोटन
blepharodiastatis,वर्त्मविस्फार
blepharon (eyelid),"नेत्रच्छद, वर्त्म, पलक"
blepharophimosis,वर्त्मविदर संकोच
blepharoplast,"बलेफेरोप्लास्ट, कशामूलक"
blepharoplasty,वर्त्मसन्धान
blepharospasm,वर्त्माकर्ष
blind," अज्ञात , अन्ध"
blinking (bilateral),(द्विपार्श्वी) निमेषण
blister,फफोला
block," रोध , खण्ड"
blond,"ब्लॉन्ड, गौरवर्ण"
blondism,रंजक अल्पता
blood र,"क्त, रुधिर"
blow (precardial),पुरोहृद्‌ आघात
blower,"धौंकनी, धमित्र"
blunt,अकर्तक
bob,"लटकन, प्रतितौल"
body," पिन्ड, वस्तु , शरीर, देह, काय , काण्ड , बॉडी"
boil,फोड़ा
bolometer,"तेजमापी, बोलोमीटर"
bolus,"ग्रास, कौर"
bonafide," सद्भावी , वास्तविक"
bond," बंध , आबद्ध"
bone,"अस्थि, हड्डी"
booster,अनुवर्धक
border," धारा , सीमा, सीमान्त"
born in caul,सावरणजन्म
boss,"बॉस, उत्सेध"
botryomycosis,बॉट्रिओेमा-कवकता
bougie (=bouginaria = urethralsuppositories)  ,"शलाका,बूजी"
bout,"आक्रमण, दौरा"
bow,चाप
bowel,"आंत्र, आंत"
bowleg,धनुर्जघा
brace," बर्मा, ब्रेस , व्याम, भुजविस्तार"
brachialgia,प्रगण्डार्ति
brachiation,बाहु दौल गमन
brachistocephalic,"पृथुतमकपाली, पृथुतम शीर्षी"
brachycephal,पृथुकपाल
brachycerebral,पृथु-मस्तिष्क
brachycolic,"लघु-वृहदांत्रिक, ब्रैकीकोलिक"
brachycranial,"पृथुकरोटि, ब्रैकीक्रेनियल"
brachydactylism (=brachydactyly),हृस्वांगुलिता
brachydont," लघुदन्त , पृथुदन्त"
brachyfacial,पृथुआननी
brachygnathism,पृथुहनुता
brachyhieric,"पृथुत्रिक, पृथुसेक्रमी"
brachyoesophagus,लघुग्रासनली
brachyphalangia,पृथु अंगुल्यस्थि
brachyprosopic,पृथु आननी
brachyrrhinia,पृथु नासा
brachystaphyline,"पृथुतालव्य, ब्रैकीस्टेफाइलाइन"
brachyuranic,"पृथुदंतउलूखल, ब्रैकीयूरेनिक"
bradycardia,हृद्मन्दता
bradyesthesia,मन्द संवेदन
bradykinesis,मन्दगतिक्रम
bradypepsia,मन्दपचन
bradyphasia,मन्दवाक्‌
bradyphrenia,मन्द मनस्कता
bradypnoea,मन्दश्वसन
bradysphygmia (=bradycardia),नाड़ीमन्दता (=हृद्मन्दता)
bradyuria,मन्दमेहन
brain,मस्तिष्क
bran,चोकर
branch,शाखा
branchioma,"आद्यग्रसनीअर्बुद, ब्रेंकियोमा"
branchiomere,"गिलखण्ड, ब्रॅंकियोमीयर"
brawny,"मांसल, घनीभूत"
breadth,"चौड़ाई, विस्तार"
breakdown,विघटन
breast," स्तन , छाती, वक्ष"
breadth,"श्वास, सांस"
breech,स्फिक्‌
"breccia, osseous",अस्थि संकोणाश्म
breeding,प्रजनन
bregma,"ब्रह्मबिन्दु, पूर्वबिन्दु, त्रेग्मा (करोटि)"
brevicollis,लघुग्रीवा
bridge,"सेतु, ब्रिज"
brim,पर्यन्त
brittle bone (=blue sclerotic),अस्थि भंगुरता
broadcast,प्रसारण
broadhead,पृथुशीर्ष
brombhidrosis (=bromidrosis),पूतिस्वेद
bromism (=brominism),ब्रोमात्यय
bromoderma,त्वकब्रोमीनता
bromometry,ब्रोमीनमिति
bronchadenitis,श्वसनीग्रन्थिशोथ
broncheole,श्वसनिका
bronchiloquy,अतिश्वसनीध्वनि
bronchiolectasis,श्वसनिका विस्फार
bronchiolitis,श्वसनिकाशोथ
bronchitis,श्वसनीशोथ
bronchodilator ,श्वसनीविस्फारक 
bronchogenic,श्वसनीजन्य
broncholithiasis,श्वसनी अश्मरता
bronchomalacia,श्वसनीमृदुता
bronchomoniliasis,श्वसनी मोनीलीयता
bronchomycosis,श्वसनीकवकता
bronchophony,श्वसनी ध्वनि
bronchoplegia,श्वसनीघात
bronchopneumonia,"ब्रोंकोन्युमोनिया, श्वसनीफुप्फुसशोथ"
bronchopulmonary lymphatics,श्वसनी-फुप्फुस लसवाहिका
bronchorrhagia (=bronchiostaxis),श्वसनीरक्तस्प्रव
bronchorrhoea,श्वसनीअतिश्लेष्मस्राव
bronchospasm,श्वसनी आकर्ष
bronchospirometer,श्वसनी-श्वसनमापक
bronchospirometry,श्वसनी श्वसनमिति
bronchotomy,श्वसनीछेदन
bronchus,श्वसनी
brood,अंडी
broth,"मांसरस,यूष,ब्रॉथ"
brow ridge buttress,भ्रूकटक वप्र
bruellosis,"ब्रूसेलोसिस,ब्रसेलारुग्णता"
bruiso,खरोंच
bruit,"ब्रूई,विरुत,ध्वनि"
bubble,बुद्बुद्‌
bubo,"ब्यूबो,बद,गिल्टी"
bubonic,"गिल्टी,ब्यूबोनी"
buccal,"मुखीय,कपोल-"
bucconasal," कपोल नासा-, मुखनासा-"
buccopharyngeal,मुखग्रसनी-
bud,"कलिका,किसलय"
buffer,"उभयरोधी,बफर"
buggery (=sodomy),गुदमैथुन
bulb,कन्द
bulbocavernosus,कन्द गहृरिका
bulbospongiosus,शिश्नकन्द स्पंजिका
bulbourethral,कन्दमूत्रपथ
bulboventricular,हृद्कन्दनिलयी
bulbus cordis,आद्‌य हृद्कन्द
bulbus oculi (=eye ball),नेत्रगोलक
bulging,उभार
bulimia,अतिबुभुक्षा
bulk,राशि
bulla,"जलस्फोट बुल्ला, छाला, बुद्बुद"
buncher,स्तवककारी
bundle,पूलिका
bunodont,वप्रदंत
buoyancy,उत्प्लावकत्ता
buphthalmos (=hydrophthalmos),वृषभाक्ष
burn,दग्ध
burrow,"त्वक्युरंग, खातिका"
bursa,"श्लेष्गुटी, वर्सा"
bursectomy,श्लेषपुटी-उच्छेदन
bursitis,श्लेषपुटीशोथ
burster,पिपाटक
buttermilk,"छाछ, मट्ठा"
buttock,नितम्ब
bypass,"उपमार्ग, वर्जन"
by-product,उपोत्पाद
bypass surgery,उपमार्ग शल्यक्रिया
cachet,"केशे, पुटक"
cachexia,"कैचेक्सिया, क्षीणता"
cacogenics,कुजननिकी
cadaver,शव
caddy,"कैडी, कस्तूरी बक्स"
caducous,आशुपाती
caecoplication,उण्डुकवलीकरण
caceoptosis (=typhloptosis),उण्डुकभ्रंश
caecorrhaphy (=typhlorrhaphy),उण्डुकसीवन
caecum,"उन्डुक, अन्धान्त्र"
caerule,नभोनील
caffeinism,कैफीनविषाक्तता
caisson (=compressed air chamber),"वातमंजूषा, कैसान"
cajuput,"केजुपुट, कायपुटी"
caking,पिंडन
calcaneitis,पार्ष्णिकाशोथ
calcaneocuboid,पार्ष्णिकाधनास्थि-
calcaneofibular,पारणिकाबहिर्जंघिका-
calcaneonavicular,पार्ष्णिका नौकाभ-
calcaneotibial,पार्ष्णिका अन्तर्जघिका-
calcaneum,पार्ष्णिका
calcigrade,पार्ष्णिगमन
calcination,निस्तापन
biliary calculi,पित्ताश्मरी
calculus," अश्मरी, पथरी , कलन"
calf,"पिण्डली, जंघा पिण्डिका"
calibration,"अंशशोधन, अंशांकन"
calibre,अन्तर्व्यास
caliculus,चपक
calipers,केलिपर्स
callosity,किण
calotte,"कपालोर्ध्व, टोपिका"
callus,"कैलस, किण"
calor,ऊष्मा
postmortem caloricity,मरणोत्तर ऊष्माशक्ति
caloricrescent,देहतापवर्धी
calorific,ऊष्माकर
calorigenic,ऊष्मा जनक
calorimeter,"ऊष्मामापी, कैलोरीमीटर"
calva,करोटि शीर्ष
calvaria,कपाल गुंबद
calvarium (=skull cap),"कपाल, कपालोर्ध्व"
calyx,"केलिक्स, बाह्यदलपुंज, आलवाल"
cam,उत्‌वर्त
cambium,"केम्बियम, एधा"
camera,छायाचित्रक
camp,शिविर
campaign,अभियान
campanulate,घंटाकार
campimetry,दृष्टिकेन्द्रक्षेत्रमापन
camptocormia,अग्रकुब्जता
camptodactylia,वक्रांगुलि
campylospermous,वक्रबीजी
campylotropous,वक्र
canal," नलिका, नाल , खातिका"
canaliculus,सूक्ष्मनलिका
cancellous,"सुषिर, कैन्सैलस"
cancrum oris (=noma),"मुखकोथ, कैंक्रम ओरिस"
candidiasis (=moniliasis),कैंडिडा रुग्णता
candy,"मिश्री, कैंडी"
canine,रदनक
congenital canities,सहज पालित्य
cannibalism," नरभक्षण , स्वजातिभक्षण"
cannibalistic," स्वजातिभक्षी , नरभक्षी"
cannula,"केनुला, प्रवेशिनी"
cantharides (=cantharis),"कैन्थेराइडिस, फफोलाजनक मक्षिका"
canthus,नेत्रकोण
cap," छादन , कपालिका, कैप, टोपी"
capacitation,"(निषेचन) क्षमता, (निषेचन) सामर्थ्य"
capiat,"सेवन करें, कैपिएट"
"capiendum (=capiendus, capiend.)",लीजिये
capillary,केशिका
capillator,"केशिका वर्णमापी, कैपिलेटर"
capillus,कूर्च रोम
capitate,समुंडिका
capiti,शिर में
capitulum,"मुण्डक, कैपिटुलम"
capping," “कैपिंग” , छद, आवरण"
capsula vitrea (caps. vitrea),काँच सम्पुट
capsula vasculosa lentis,लेंस का वाहिका-सम्पुट
capsulation,सम्पुटन
capsule,"सम्पुट, केप्सूल"
capsulitis,सम्पुटशोथ
caput,शीर्ष
caramelisation,"केरामेलीकरण, शर्करादहन"
caramelise,"दग्धशर्करा भवन, शर्करा दहन"
carbohaemia,कार्बमोनोक्साइडरक्तता
carcase (=—Ccarcass)," पशुशव , शव"
carcinoma,कार्सिनोमा
cardia,"अभिहृद्‌, जठरागम"
cardialgia,"पुरोहृदार्ति, पुरोहृद्दाह"
cardinal,"प्रधान, प्रमुख"
cardioacceleration,हृद्त्वरण
cardiocele,हृद्-हर्निया
cardiocentesis (=cardiac puncture),हृद्वेधन
cardio-decelerator,हृद्‌-अत्वरक
cardiogenic,हृद्जन्य
cardiogram,"हृदलेख, कार्डियोग्राम"
cardiograph,हृदलेखित्र
cardiography,हृदूलेखन
cardioinhibitory,हृद्संदमी
cardiologist,हृदयरोग विशेषज्ञ
cardiolysis,"परिहृद्वियोजन, कार्डियोलाइसिस"
cardiomegaly,हृद्‌ वृहत्ता
cardiometer,"कार्डियोमीटर, हृद्मापी"
cardiomyoliposis,हृद्पेशीवसामयता
cardiomyopathy,हृद्पेशी विकृति
cardiomyotomy,जठरागम पेशीछेदन
cardioneurosis,हृद्‌ विक्षिप्ति
cardio-omentopexy,हृद्‌-वपास्थिरीकरण
cardiopalmus,हृदय धड़कन
cardiopericardiopexy (=pericardiopexy),हृद्परिहृद्‌ स्थिरीकरण
cardiophonogram,"हृद्ध्वनिलेख, कार्डियोफोनोग्राम"
cardioplasty,जठरागम सन्धान
"cardioplegia, (controlled)",(नियन्त्रित) हृद्घात
cardioptosis,हृद्भ्रंश
cardiopulmonary bypass,हृद्‌-फुप्फुस उपमार्ग
cardiorespiratory ,हृद्श्वसन
cardiorrhapy,हृद्सीवन
cardioscope,"हृदलेखदर्शी, काड़ियोस्कोप"
cardiospasm (=esophagectasia),"अभिहृद्जठर अशिथिलता,अभिहृद्जठराकर्ष"
cardiotonics,"हृद्बल्यबर्ग, हृद्यवर्ग"
cardiotoxicity,हृद्विषाक्तता
cardiovascular baroreceptor afferents,हृद्वाहिका दाबग्राही अभिवाहक
cardiovasculorenal,हृद्वाहिकावृक्क-
cardioverter,"हृद्तालवर्तक, कार्डियोवर्टर"
carditis,हृद्शोथ
caries,क्षरण (यक्ष्मा)
carious,क्षरणग्रस्त
carminative,"वातानुलोमक, वायुसारी"
camnification,मांसलीभवन
carnivore,मांसभक्षी
carmnophobia,मांसाहारभीति
caroticocavernous,"कैरोटिड गहरी, कैरोटिकोकेबर्नस"
caroticoclinoid,"कैरोटिड स्थाणुक, केरोटिकोक्लिनॉइड"
caroticotemporal,"कैरोटिड शंख, कैरोटिको टेंपोरल"
caroticotympanic,"केरोटिडमध्यकर्ण, कैरोटिको टिपैनिक"
carotid,केरोटिड
carotinosis cutis,त्वक्‌ कैरोटीनता
carpel,अंडप
carpometacarpal,मणिबन्ध 'करभ
carpophore,"फलधर, कार्पोफोर"
carpus,"मणिबन्ध, कार्पस"
CarTier,वाहक
cartilage (=cartilago),"कार्टिलेज, उपास्थि"
caruncle," मांसांकुर बीजचोलक, कैरंकल"
carunculae hymenales,योनिच्छद शेष
caseation,किलाटी भवन
casing,"वेष्टन, केसिंग"
caqssonade,अपरिष्कृत शर्करा
cast," निर्मोक , ढालित"
casting," विमुंचन , ढालना"
castration,"बन्‌ध्यकरण, बीजग्रन्थिउच्छेदन, बीजग्रन्थिनाशन"
casualty,"अत्याहत, कैजुअल्टी"
catabasis,रोगावरोहण
catabiosis,अपंचयजीविता
catabolism (=katabolism),अपचय
catabolite,अपचयज
catacrotism,विषमावरोहिता
catadicrotic,अवदृविस्पंदी
catalepsy,"कैटालेप्सी, पेशी प्रतिष्टम्भ"
catalyst,उत्प्रेरक
catamenia,"आर्वत, रजः स्राव"
catamnesis,चिकित्सोत्तर वृत्त
cataphasia,"केटाफेसिया, मुहुर्मुहुर्वाक्‌"
cataphoria,"केटाफोरियां, उभयनेत्र अधो विचलन  प्रवृत्त्त"
cataphylaxis,रोगक्षमतानाश
cataphyllary,अधःपर्ण
cataplasia,"प्रत्यक्‌ कायान्तरण, कैटाप्लेसिया, प्रत्यक्‌  विकसन"
cataract,मोतियाबिन्दु
cataracta brunescens,भूरा मोतियाबिन्दु
cataracta coerulea,नील मोतियाबिन्दु
catarrh," प्रतिश्याय, जुकाम , अभिष्यन्द, केटार"
catarrhal," श्लेष्मस्राव, प्रतिश्याय- , अभिष्यन्द"
catarrhine,"कैटारिन, संकीर्णनासा"
catastasis,अतिरिक्त पुरःसरण
catastrophism,उत्क्रांतिवाद
catatasis (extension for fracture),(अस्थिभंग) प्रसार (अस्थिभंग प्रसारण)
catatonia,"तनाप्रतिष्टम्भ, कैटाटोनिया"
catchment,आवाह
caterpillar,"सूंडी, इल्ली"
catharsis,रेचन
cathartic,विरेचक
catheter,नालशलाका. कैथीटर
cathetometer,"ऊर्ध्वतामापी, मापक सूक्ष्मदर्शी"
cation,"कैटायन, धनायन"
cauda equina,मेरुरज्जुपुच्छ
caudal,पुच्छक
caudotomy,(मेरुरज्जु) पुच्छछेदन
cauiine,स्तंभिक
causalgia,"चोष, दाहार्ति"
caustic,दाहक
cauterization,"दागना, कॉटरीकरण, दहन, दहनकर्म"
cautery,"कॉटरी, दहन"
cave,गुहा
cavernitis (=cavernositis),(शिश्न) रक्तधरपिण्डशोथ
cavernosa,गहृर
cavernoscopy,(फुप्फुस) गुहिकादर्शन
cavernostomy,गहृरछिद्रीकरण
cavitation,गुहिकायन
cavity (=cavum),"गुहिका, गुहा"
cavography,महाशिरा चित्रण
cavum,गुहा
cecostomy,अन्धान्त्र छिद्रीकरण
cell," कोशिका , सेल , कोष , कोष्ठिका"
cellular,"कोशिका-, कोशिकीय"
cellulitis,संयोजक-ऊतिशोथ
celluloneuritis,तन्त्रिकाकोशिकाशोथ
cementoblast,संयोजीकोशिका-प्रसू
cementum,"दंतवज्र, सीमेंटम"
cenogenetic,नवानुवंशिक
centrifugalisation,अपकेन्द्रीकरण
centrifugation,"अपकेन्द्रीकरण, अपकेन्द्रण, केन्द्रापसरण"
centrifuge,"अपकेन्द्रित्र, सेन्ट्रीफ्यूज"
centrilobule,केन्द्रखंडक
centriole,तारक केन्द्रक
centromere,"गुणसूत्र बिन्दु, सेन्ट्रोमियर"
centrosome,"सेन्ट्रोसोम, तारक काय"
centrosphere,तारक परिकेन्द्र
cephalgia (=cephalalgia),शीर्षार्ति
cephalhaematoma,शीर्षरक्तसंग्रह
cephalometry,"शीर्षमिति, कपालमिति"
cephalopagus,"सिफेलोपेगस, बद्घकपाल यमल"
cephaloplegia,शीर्षपेशीघात
cephalotaphy,"शीर्ष परिरक्षण, शीर्ष गर्भण"
cephalothoracopagus,बद्धिशिरोवक्ष
cephalotribe,"सेफेलोट्राइब, शीर्ष प्रवलक"
cephalotripsy,"शीर्ष प्रदलन, सेफेलोट्रिप्सी, कपाल  विदारण"
cercaricidal (=cercericide),सर्करियानाशी
cerebellectomy,अनुमस्तिष्कोच्छेदन
cerebellopontine,"अनुमस्तिष्क-सेतु, सेरिबेलो-पॉन्टाइन"
cerebellum,"अनुमस्तिष्क, सेरिबेलम"
cerebrasthenia (~encephalasthenia),मस्तिष्क दौर्बल्य
cerebration,प्रमस्तिष्क व्यापार
cerebrosidosis,सेरिब्रोसाइडता
cerebrospinal,प्रमस्तिष्कमेरु-
cerebrum,"प्रमस्तिष्क, सेरिब्रम"
cereoli,मूत्र शलाका
cereolus (cereol.),मूत्रमार्ग बूजी
cerumen,कर्णगूथ
cervicopexy,गर्भाशयग्रीवास्थिरीकरण
Cervix," गर्भाशयग्रीवा, ग्रीवा , ग्रीवावत (दंत)"
chafing,विशल्कन
chalasia,(अभिहृद्जठर) शिथिलता
chalaza,श्वेतकरज्जु
chalcosis,"ताम्ररुग्णता, ताम्रमयता"
chamae-cephalic,निम्न कपालीय
chame conch," आयत-नेत्रकोटर , आयतानन, केमीकान्च"
chamae cranic,निम्न करोटीय
chamber,"कोष्ठ, कक्ष, कुंड"
chancelade skull,चांसलेड कपाल
channel," प्रणाल , वाहिका , जलमार्ग"
character disorder,चरित्र विकार
characteristic," लक्षण , विशेषता , अभिलक्षण"
charcoal,कोयला
charge," चार्ज , आवेश"
charring,"आदहन, कार्बनीकरण"
chastisement,दंड
cheilectomy,ओष्ठोच्छेदन
cheilectropian,ओष्ठ बहिर्वर्तन
cheilosis,ओष्ठविदरता
cheilitis,"ओष्ठशोथ, सृक्कशोथ"
cheilorrhaphy,ओष्ठ सीवन
cheilosis,"ओष्ठविदरता, ओष्ठ-विदरण"
cheilostomatoplasty,ओष्ठ-मुख संधानकर्म
cheilotomy,ओष्ठच्छेदन
chelation,"कीलेटीकरण, कीलेशन"
chelion,"ओष्ठ कोण बिन्दु, शीलियन"
chemiluminescence,रासायनिक संदीप्ति
chemisorption,रासायनिक शोषण
chemist,रसायनज्ञ
chemistry,"रसायन, रसायन विज्ञान"
chemodifferentiation,रसविभेदीकरण
chemolysis,रसायन-अपघटन
chemopallidectomy,"कीमोपैलीडेक्टोमी, रसायनी पाण्डुपिण्डोच्छेदन"
chemoprophylaxis,रसायन-रोगनिरोध
chemoreceptor,रसायनग्राही
chemoresistance,रसायन प्रतिरोध
chemosis,"कीमोसिस, श्लेष्मलाशोफ"
chemosynthesis,रसायनी संश्लेषण
chemotaxis,रसायन अनुचलन
chemotherapy,रसायनचिकित्सा
chiasma,"केयाज्मा, व्यत्यासिका"
chicken pox,छोटी माता
chilblain,"शीतशोथ, चिलब्लेन"
chilproofing,शीतसह करना
"chimerism, blood","रक्त काइमेरिज्म, रक्तमिश्रण"
chin,चिबुक
chiropodist,पादचिकित्सक
chloasma,"क्लोआजमा, विवर्णलांछन"
chloraemia (=chlorosis),"हरितरोग, क्लोराइडरक्तता"
chlorimation,क्लोरीनीकरण
achylic chloroanaemia,जठर स्रावहीन हरितरक्तता
chloroleukaemia,हरित-श्वेतरक्तता
chloroma,"हरितार्बुद, क्लोरोमा"
chlorophyll,"पर्णहरित, क्लोरोफिल"
chloropia,हरितदृष्टिता
chloroplast,"क्लोरोप्लास्ट, हरितलवक"
chlorosis,"हरितरोग, क्लोरोसिस"
chlorotics,हरिमा
chloruresis,क्लोरीनमूत्रलता
choana,पश्चनासा दृवार
cholaemia,पित्तरक्तता
cholagogue,"पित्तरेचक, पित्तवर्धी"
cholangiectasis,पित्तवाहिनी विस्फार
cholangioadenoma,पित्तवाहिनी ग्रन्थ्यर्बुद
cholangiocholecysto choledochectomy,यकृत्‌-सामान्यपित्तवाहिनी-पित्ताशयोच्छेदन
cholangio-enterostomy,पित्तवाहिनी-आन्त्रसम्मिलन
cholangiography,पित्तावाहिनीचित्रण
cholangiohepatoadenoma (=hamartoma),पित्तवाहिनी-यकृत्‌ ग्रन्थयर्बुद
cholangiojejunostomy,पित्तवाहिनी-शेषान्त्र सम्मिलन
cholangioma,पित्तवाहिनी अर्बुद
cholangiostomy,पित्तवाहिनी छिद्रीकरण
cholangitis,पित्तवाहिनीशोथ
cholebilirubin,"कोलीबिलीरूबीन, पित्त बिलीरूबीन"
cholecystangiography,पित्ताशय वाहिका चित्रण
cholecystatony,पित्ताशय अतानता
cholecystectasia,घित्ताशय विस्फार
cholecystectomy,पित्ताशयोच्छेदन
cholecystitis,पित्ताशयशोथ
cholecystocholangiography,पित्ताशय वाहिनी चित्रण
cholecysto-enterostomy,"पित्ताशय-आंत्रसम्मिलन,कोलीसिस्टो-फएंटेरोस्टोमी"
cholecysto-gastrostomy,"पित्ताशय-जठर सम्मिलन, कोलीसिस्टो-गैस्ट्रोस्टोमी"
cholecystogram,पित्ताशयचित्र
cholecystolithiasis,पित्ताशयाश्मरता
cholecystomy (=cholecystotomy),पित्ताशयछेदन
alithiasic cholecystopathy,अनश्मरज पित्ताशयविकृति
cholecystosis,अपपित्ताशयता
cholecystostomy,"पित्ताशय छिद्रीकरण, कोलीस्टिस्टॉमी"
choledocho-enterostomy,पित्तवाहिनी-आन्त्रसम्मिलन
intravenous choledochogram,अन्तःशिरा पित्तवाहिनीचित्र
choledocho-jejunostomy,पित्तवाहिनी-मध्यान्त्रसम्मिलन
choledocholithiasis,पित्तवाहिनीअश्मरता
choledocholithotomy,पित्तवाहिनी-अश्मरीहरण
choledochotomy,"पित्तवाहिनीछेदन, कोलीडोकोटॉमी"
cholelithiasis,"पित्ताश्मरिता, कोलीलिथिएसिस"
cholemesis,पित्तवमन
cholemia,पित्तरक्तता
cholepoiesis,"पित्तोपादन, पित्तवर्धन"
cholepoietic,पित्तोत्पादक
cholera,"विसूचिका, हैजा, कॉलरा"
choleratic,पित्तवर्धी
choleric,पैत्तिक
cholestasis,पित्तस्थिरता
cholesterol blood,रक्त कोलेस्टेरॉल
cholesterolgenic,कोलेस्ट्रेरॅलजनक
cholesterosis,कोलेस्टेरॉलता
cholinergic,कोलीनधर्मोत्तेजक
cholinomimetic,कोलीन-अनुकारी
choluria,पित्तमेह
chondrification,उपास्थीभवन
chondritis,उपास्थिशोथ
chondroblastoma,उपास्थि प्रसूअर्बुद
chondrocranium,उपार्थि करोटि
chondrodysplasia,उपास्थिदुर्विकसन
chondrodystrophia (=chondrodystrophy),उपासर्थिदुष्पोषण
chondro-epiphysitis,उपास्थि-अधिवर्धशोथ
chondroma,"उपासर्थि अर्बुद, कॉन्ड्रोमा"
chondromalacia,उपास्थिमृदुता
chondromatosis,उपास्थि-अर्बुदता
chondromucoid,"कॉन्ड्रोम्यूकॉइड, उपास्थि श्लेष्माभ"
chondronecrosis,उपास्थिपरिगलन
"chondro-osteodystrophy (~Hurler's disease, gargoylism)",उपास्थि-अस्थि दुष्पोषण
chondrophyte,"उपास्थि उद्‌वर्ध, कॉन्ड्रोफाइट"
chord,रज्जु
chordotomy,सुषुम्नाछेदन
chorea,"लास्य, कोरिया"
chorio-adenoma,"जरायु-ग्रन्थि अर्बुद, कोरियाएडीनोमा"
chorioamnionitis,जरायुउल्वशोथ
chorio-angioma,जरायु-बाहिकार्बुद
choriocapilaris (=choriocapillary plexus),रंजितपटल केशिकाजला
choriocapillary,रंजितपटलकेशिका
choriocarcinoma,जरायु कार्सिनोमा
chorioepitheloma (=chorion epithelioma),"दुर्दम जरायुउपकलार्बुद,कोरिओऐपिथीलिओमा"
choriomeningitis,कोरॉइडमस्तिष्कावरणशोथं
chorion,"जरायु, कोरियोन"
choroid,"कोरॉइड, कोरियोन"
choroideremia,रंजित पटल अरतक्ता
choroiditis,"रंजितपटलशोथ, रंजितपटल व्यपजनन"
chrisma (=salve),स्निग्ध लेप
chromaffin,"वर्णरागी, क्रोमेफिन"
chromatelopsia,अंश वर्णान्धता
chromatid,"अर्घ गुणसूत्र, क्रोमेटिड"
chromatogram,वर्ण लेख
chromatotometer,"क्रोमैटोमीटर, वर्णमापी"
chromatophore,वर्णधर कोशिका
chromatoplasm,रंज्य द्रव्य
chromatopsia,रंजितदृष्टिता
chromatotoptometery,"वर्णभेदनमिति, क्रोमैटॉप्टोमेट्री"
chromidrosis,रंजित स्वेदलता
chromocystoscopy,"रंजित मूत्राशयदर्शन, क्रोमोसिस्टोस्कोपी"
chromogen,"वर्णजन, क्रोमोजन"
chromomere,"वर्णसूत्र, क्रोमोमिअर"
chromophobe,वर्ण विरागी
chromophobia,"वर्णभीति, वर्णविरागिता"
chromosome,"गुणसूत्र, क्रोमोसोम"
chromotropic,वर्णाकर्षी
chronic,चिरकारी
chronoscope,"कालमापी, कालदर्शी"
chrysiasis,स्वर्णमयता
chylaemia,वसालसीकारक्तता
chyle,"वसालसीका, काइल"
chylidrosis,वसालसीकास्वेदलता
chylocele,वसालसीका वृषण
chylomicron,"वसालसीकाणु, काइलोमाइक्रोन"
chylopericardium,"वसालसीका परिहृद्‌, काइलपरिहृद्‌"
chylopneumothorax,वसालसीकावातवक्ष
chylothorax,वसालसीकावक्ष
chyluria,"वसालसीकामेह, काइलमेह"
chymotrichous,ऊर्मिल केश
cibus,भोजन
cicaatrix,"व्रण चिहृ, क्षतांक"
cilia," सिलिया, रोमक , पक्षमाभिका"
cingulectomy ," (मस्तिष्क)मेखलोच्छेदन, सिगुलम उच्छेदन"
cingulatomy,"(मस्तिष्क) मेखलाछेदन, सिंगुलम छेदन"
cingulum,"मेखला, सिंगुलम"
circinata,कुंडलित विकृति
circle,वृत्त
circoid,सर्पाकृति
circuit," चक्र , परिपथ"
circulation,परिसंचरण
circumanales,परिगुदा
circumcision,"सुन्नत, खतना"
circumorneal,"परिस्वच्छमंडल, परिकॉर्निया"
circumduction,पर्यावर्तन
circumflex,परिवेष्टक
circumstantiality,सांयोगिकता
circumvallate,"परिवृत्त, परिखावृत्त"
circus rhythm ,वृत्तीय ताल
cirsoid,"स्फीत शिरा, सिरसॉइड"
cis-form,सिस-रूप
cistern (=cisterna),कुड
citrullinuria,सिटुलिनमेह
cladogenesis (=branching evolution),शाखीय विकास
clamp,"संधर, क्लैम्प"
clang association,क्वणन साहचर्य
