Word ,Meaning 
dredging,निकर्षण
drier,शुष्कित्र
drift,1. अपोढ़ 2. अपवाह 3. विस्थापन
drilling,प्रवेधन
drimophilus,क्षाररागी
drinking water,पेय जल
drip irrigation,द्रप्स सिंचाई
drizzle,फुहार
droplet,बिंदुक
drowsiness,निद्रालुता
drought,"जलाभाव, सूखा"
drought resistance,जलाभाव सहिष्णुता
dry cultivation (dry farming),"वर्षाधीन कृषि, बारनी खेती"
dry impingment,शुष्क आघट्टन
dryer,शुष्कित्र
duct,वाहिनी
dung,शमल
dust,धूल
dust arrestor (dust remover),धूलि ग्राहित्र (धूलि निष्कासित्र)
dustbin,कूड़ादान
dust bowl,अंधड
dust collector,धूलि संग्रहित्र
dust counter,धूलि-गणित्र
dust devil,आंधी-बगूला
dust fall,धूलिपात्र
dust loading,धूलि भारण
dust storm,आंधी-अंधड
dust whirl,बवंडर
dyeing waste,रंजन अपशिष्ट
dynamic,गतिक
dynamic model,गतिक मॉडल
dynamics,गतिकी
dysphotic,मंद प्रकाशी
dystrophic zone,दुष्पोषी क्षेत्र
dyticon,पंकवासी
earth,1. पृथ्वी 2. भू  3. मृत्तिका
earth dam,मृत्तिका बंध
earth movement,पृथ्वी की हलचल
earth pressure,1. मृदा दाब 2. भू-दाब
earthquake belt,भूकंप मेखला
earthquake disaster,भूकंप विपदा
earth stress,भू-प्रतिबल
earth summit,पृथ्वी सम्मेलन
earth tide,भू-ज्वार
earthquake,भूकंप
ecad,इकैड
ecaysis,निर्मोक-उत्सर्जन
ecesis (=oikesis),आस्थापन
echo,प्रतिध्वनि
echo sounder,प्रतिध्वनि गभीरतामापी
ecise,नववासन
eco-climate,पारि-जलवायु
eco-development,पारि-विकास
ecocline,"पारि-प्रवणता, पारिस्थतिक प्रवणता"
ecolable,परिस्थितिक लेबल
ecotype,पारि-प्ररूप
ecological,"पारिस्थितिक, परिस्थितिकीय"
ecological amplitude,पारिस्थितिक आयाम
ecological balance,पारिस्थितिक संतुलन
ecological community,पारिस्थितिक समुदाय
ecological energetics,पारिस्थितिक और्जिकी
ecological ethics,पारिस्थितिक आचारनीति
ecoloigcal factor,पारिस्थितिक कारक
ecological footprint,पारिस्थितिक अवशेष-चिन्ह
ecological impact,पारिस्थितिक प्रभाव
ecological indicator,पारिस्थितिक सूचक
ecological land use planning,पारिस्थितिकीय भू-उपयोग नियोजन
ecological niche,पारिस्थितिक कर्मता
ecological pest management,पारिस्थितिक पीडक प्रबंधन
ecoloigcal pyramid,पारिस्थितिक पिरैमिड
ecological risk assessment,पारिस्थितिक जोखिम निर्धारण
ecological succession,पारिस्थितिक अनुक्रमण
ecologist,"पारिस्थितिकीविज्ञ, पारिस्थितिकी विज्ञानी"
ecology,पारिस्थितिकी
ecology of population,जन-पारिस्थितिकी
economic conservation,आर्थिक संरक्षण
economic developmet,आर्थिक विकास
economic efficiency,आर्थिक दक्षता
economic injury level,आर्थिक क्षति स्तर
economic threshold,आर्थिक देहली
economics,अर्थशास्त्र
ecophysiology,पारिकार्यिकी
ecospecies,पारिजाति
ecosphere,पारिमंडल
ecosystem,"पारितंत्र, पारिस्थितिक तंत्र"
ecosystem energy flow,पारितंत्र ऊर्जा प्रवाह
ecotone,संक्रमिका
ecotope,"पारिस्थल, पारिस्थितिक स्थल"
ecotoxictiy,पारिआविषालुता
ecotoxicology,पारिआविषविज्ञान
ecotype,पारिप्ररूप
ectoparasite,बाह्यपरजीवी
ectophagous,बाह्यभक्षी
ectoplasm,बहिर्द्रव्य
edaphic climax,मृदीय चरमावस्था
edaphic factor,मृदीय कारक
edaphology,मृदाविज्ञान
eddy current,भंवर धारा
edema (= oedema),शोफ
edge effect,कोर प्रभाव
effective force,प्रभावी बल
effective height of emission,उत्सर्जन की प्रभावी ऊंचाई
effective population size,प्रभावी जनसंख्या आकार
efficiency,दक्षता
efficinecy filter,दक्षता फिल्टर
effluent,बहिःस्राव
egestion,बहिर्क्षेपण
El Nino,एल निन्यो
electro chemical treatment of sewage,वाहितमल वैद्युत रासायनिक उपचार
electrolysis,विद्युत्‌-अपघटन
electrolyte,विद्युत्‌-अपघट्य
electromagnetic field (EMF),वैद्युत-चुंबकीय क्षेत्र
electromagnetic spectrum,वैद्युत-चुंबकीय स्पेक्ट्रम
electron,इलेक्ट्रॉन
electron capture,इलेक्ट्रॉन परिग्रहण
electrostatic precipitator (ESP),स्थिरवैद्युत अवक्षेपित्र
eluviation,अवक्षालन
embryology,"भ्रौणिकी, भ्रूणविज्ञान"
emergence,निर्गमन
emigration,उत्प्रवास
emission,उत्सर्जन
emission control standard,उत्सर्जन नियंत्रण मानक
emission factor,उत्सर्जन कारक
emission limiting value,उत्सर्जन सीमांत मान
emission monitoring,उत्सर्जन मानीटरन
emission standard,उत्सर्जन मानक
emitter,उत्सर्जक
emophyte,निमग्नोद्भिद्‌
emphysema,वातस्फीति
emulsifier,पायसीकारक
emulsion,पायस
encapsulation,संपुटन
enclosed valley,परिबद्ध घाटी
encroachment,अतिक्रमण
endangered species,संकटापन्न जाति
endemic,स्थानिक
endemism,स्थानिकता
endoparasite,अंतः परजीवी
endophyte,अंतः पादप
endoplasm,अंतर्द्रव्य
endosperm,भ्रूणपोष
endothermic,ऊष्माशोषी
endotoxin,अंतराविष
endotrophic,परांत: पोषित
energy budget,ऊर्जा बजट
energy crisis,ऊर्जा संकट
energy conservation,ऊर्जा संरक्षण
energy flow,ऊर्जा प्रवाह
energy gradient,ऊर्जा प्रवणता
energy resource,ऊर्जा संसाधन
enteric disease,आंत्र रोग
entomologist,कीटविज्ञानी
entomophagous,कीटभक्षी
entomophilous,कीटपरागित
entomophilly,कीट-परागण
entophagous,अंतर्भक्षी
entropy,एंट्रॉपी
environmental risk,पर्यावरणी जोखिम
environment,पर्यावरण
environment friendly,पर्यावरण हितैषी
environmental education,पर्यावरणीय शिक्षा
environmental ethics,पर्यावरणीय नैतिकता
envirtonmental factor,पर्यावरणीय कारक
environmental impact,पर्यावरणीय प्रभाव
environmental impact assessment,पर्यावरणीय प्रभाव निर्धारण
environmental law,पर्यावरणीय कानून
environmental management,पर्यावरणीय प्रबंध
environmental protection,पर्यावरणीय रक्षण
environmental quality standard,पर्यावरणीय गुणता मानक
environmental refugee,पर्यावरणीय शर्णार्थी
envoronmental resistance,पर्यावरणीय प्रतिरोध
environmental science,पर्यावरण विज्ञान
environmental stress,पर्यावरणीय प्रतिबल
environmentalism,पर्यावरणवाद
Enviranmentalist,पर्यावणविद्‌
enzyme,एंजाइम
enzymology,एंजाइम विज्ञान
eocene,"आदिनूतन, इओसीन"
eolation,वायवांतरण
eolian,वायूढ
eosere,आदिक्रमक
epicenter,अधिकेंद्र
epidemic,महामारी
epidemiology,महामारीविज्ञान
epigeal,भूम्युपरिक
epigenetic volcano,पश्चजात ज्वालामुखी
epilepsy,"अपस्मार, मिरगी"
epinasty,अधःकुंचन
epiparasitism,अधिपरजीविता
epiphyte,अधिपादम
epoch,युग
equilibrium,"साम्य, साम्यावस्था"
equilibrium theory,साम्यावस्था सिद्धांत
equivalent population,तुल्य जनसंख्या
era,महाकल्प
eradication,उन्मूलन
ergot,अर्गोट
erode,अपरदन करना
erosion,अपरदन
erosion resistant,अपरदनरोधी
erratic rainfall,अनियमित वर्षा
eruption,उद्गार
essential element,अनिवार्य तत्व
estimate,आकलन
estivation,"ग्रीष्मनिष्क्रयण, ग्रीष्मनिष्क्रियता"
estuarine,ज्वारनदमुखी
estuary,ज्वारनदमुख
ethics,1. आचारनीति 2. नीतिशास्त्र
ethnobotany,नृवनस्पतिविज्ञान
ethnology,नृविज्ञान
ethology,जीवपारिस्थितिकी
etiolation,पांडुरता
etiology,"हेतुविज्ञान, हेतुकी"
eugenics,सुजननिकी
euphotic,"सुप्रकाशित, सुप्रकाशी"
euphotic zone,सुप्रकाशी क्षेत्र
euplankton,सुप्लवक
euryoecious,पृथुवासी
eurythermal,पृथुतापी
euthenics,"सुजीवनिको, सुजीवनविज्ञान"
eutrophy,सुपोषण
evaporation,उद्‌वाष्पन
evapotranspiration,उद्वाष्पन-वाष्पोत्सर्जन
evergreen forest,सदाबहार वन
evolution,विकास
evolutionary succession,विकासात्मक अनुक्रमण
e-waste,"ई-अपशिष्ट, इलेक्ट्रॉनिक अपशिष्ट"
excretion,उत्सर्जन
excurrent,1. बहिर्वर्धी 2. बहिर्वाही
exergonic,1. ऊर्जक्षेपी 2. ऊर्जाजनिक
exfoliation,अपपत्रण
exhaust emission,निर्वातक उत्सर्जन
exhaustible source,निर्गमनीय स्रोत
exhaustion,"रेचन, निर्वातन"
exodus,निर्गमन
exogamy,बहिर्युग्मन
exosphere,बहिर्मंडल
exothermic,ऊष्माक्षेपी
exotic,विदेशज
exotic species,विदेशज जाति
exotrophy,अपवर्धन
experimental design,प्रयोगार्थ अभिकल्पना
explantation,बहिः रोपण
exploitation,1. समुपयोजन 2. शोषण 3. दोहन
explosive,विस्फोटी
explosive eruption,विस्फोटी उद्गार
exponential growth,चरघातांकी वृद्धि
exposure,1. उद्भासन 2. प्रभावन
exposure level,प्रभावन स्तर
exposure dose,प्रभावन मात्रा
extinction,विलोपन
exudate,निःस्रवण होना; निःस्राव
facultative,विकल्पी
facultative parasite,विकल्पी परजीवी
fall out,अवपात
fallow land,परती भूमि
fanning,प्रवीजन
farm forestry,कृषि-वानिक
farming community,कृषि-समुदाय
farmyard manure (FYM),फार्मयार्ड खाद
fatigue,श्रांति
fault,भ्रंश
fauna,प्राणिजात
fecundity,1. बहुप्रजता 2. जनन-क्षमता
feed back,पुनर्भरण
fermentation,किण्वन
fertile,1. जननक्षम 2. उर्वर
fertility,उर्वरता
fertilization,1. निषेचन 2. उर्वरण
fertilizer,उर्वरक
fibre,रेशा
filament,तंतु
film water,परत जल
filter,निस्यंदक
filter point,निस्यंदक बिंदु
filter sand,निस्यंदक बालू
filtration,निस्यंदन
final intake of water,जल का अंतिम अंतर्ग्रहण
fine screen,"सूक्ष्म स्क्रीन, सूक्ष्म पट"
fine textured soil,सूक्ष्मकणी मृदा
fire control line,अग्नि नियंत्रण रेखा
fire hazard,अग्नि संकट
fire point,दहनांक
first law of thermodynamics,ऊष्मागतिकी का प्रथम नियम
first law of efficiency,दक्षता का प्रथम नियम
fission,विखंडन
fisheries,मात्स्यिकी
fitness of the environment,पर्यावरण की उपयुक्तता
fixation,"1. यौगिकीकरण  2. स्थिरण, स्थायीकरण"
fixation of nitrogen,नाइट्रोजन का यौगिकीकरण
fixative,स्थायीकर
flagellum,कशाभ
flash drying,स्फुर शुष्कन
flash flood,आकस्मिक बाढ
fluidity,तरलता
flexibility,"1. नम्यता, लचीलापन  2.अनुकूलनशीलता"
floatation,प्लवन
floating,"प्लवन, प्लावी"
flocculation,ऊर्णन
flood,"बाढ़, पूर, ओघ"
flood control reservoir,बाढ़ नियंत्रक जलाशय
flood peak,बाढ़ की चरम सीमा
flood plain,"बाढ़कृत मैदान, कछार"
flood stage,बाढ अवस्था
flood control,बाढ़ नियंत्रण
flora,वनस्पति-जात
florology,पुष्पविज्ञान
fluorescence,प्रतिदीप्ति
flow,प्रवाह
flow line,प्रवाह रेखा
flow rate,प्रवाह दर
fluctuation,"उच्चावचन, घट-बढ़"
fluctuation of water table,भूजल-स्तर उच्चावचन
flue gas,फ्लू गैस
fluidisation,तरलन
fluorocarbon,फ्लोरोकार्बन
fluorometer,फ्लोरोमापी
fluorosis,फ्लुओरोसिस (रोग)
flush,1. प्रधावन 2. सपाट
flushinig,प्रधावन
fluvial,नदीय
flux,1. अभिवाह 2. गालक
fly ash,1. फ्लाई ऐश 2. उड़न राख
foam,फेन
foaming,फेनन
fodder,चारा
fog,कुहरा
fog dirp,कुहरा नमी
fogging,कुहरायन
foliage,पर्णसमूह
foliation,पत्रण
food additives,खाद्य योजक
Food and Agricultural,खाद्य एवं कृषि संगठन Organisation (FAO)
food chain,खाद्य शृंखला
food chain efficiency,खाद्य शृंखला दक्षता
food crop,खाद्य फसल
food cycle,खाद्य चक्र
food niche,1. आहार निकेत 2. खाद्य कर्मता
food poisoning,खाद्य विषाक्तन
food pyramid,खाद्य पिरामिड
food security,खाद्य रक्षण
food web,खाद्य जाल
foot hills,गिरिपाद
forage,चारा
forecast,पूर्वानुमान
foreign matter,विजातीय द्रव्य
foreshore,तटाग्र
forest,वन
forest cover,1. वन आवरण 2. वन आच्छादन
forest land,वन भूमि
forest management,वन प्रबंधन
forestation,वनरोपण
forestry,वानिकी
fork,1. दुशाख 2. कांटा
form line,आकृति रेखा
formation of soil,मृदा निर्माण
fossil,जीवाश्म
fossil fuel plant,जीवाश्मी ईंधन संयंत्र
fouling,परिदूषण
foundation seed,आधार बीज
founder principle,संस्थापक सिद्धांत
fractionation,प्रभाजन
fracture zone,विभंजन क्षेत्र
fragile,भंगुर
frequency index,"आवृत्ति सूचकांक, बारंबारता सूचकांक"
free energy,मुक्त ऊर्जा
free flow,मुक्त प्रवाह
free radical,मुक्त मूलक
freezing point,हिमांक
frequency,1. आवृत्ति 2. बारंबारता
frequency class,आवृत्ति वर्ग
frequency dependence,आवृत्ति निर्भरता
frequency distribution,बारंबारता बंटन
frequency law,आवृत्ति नियम
fresh water,अलवण जल
fringe forest,तटीय वन
fringe water,उपांत जल
frost,"तुषार, पाला"
frost damage,तुषार क्षति
frost point,तुषारांक
frost resistance,तुषार प्रतिरोध
frozen,हिमशीतित
fuel,ईंधन
fuel efficiency,ईंधन दक्षता
fuel element,ईंधन तत्व
fugitive emission,आशुलोपी उत्सर्जन
full bloom,पूर्ण पुष्पित
fume,धूम
fume incineration,धूम भस्मीकरण
fumigation,धूमन
functional,"प्रकार्यक, प्रकार्यात्मक"
fundamental niche,"मूल निकेत, मूल कर्मता"
fungi,कवक
fungicide,कवकनाशी
fungivorous,कवकभक्षी
fungus,कवक
furnace,भट्टी
furrow dam,खांचित बांध
furrow irrigation,"खूड सिंचाई, खांचा सिंचाई"
fusion,1. संगलन 2. संलयन
fusion reactor,संलयन रिऐक्टर
gale of wind,पवन झंझा
gallery forest,तटीय वन
game conservancy,आखेट संरक्षण
game management,आखेट प्रबंधन
gamete,युग्मक
gamma radiation,गामा विकिरण
garbage,कचरा
gas cleaning plant,गैस-शोधक संयंत्र
gas sludge,गैस आपंक
gasohol,गैसोहॉल
gasoline,पेट्रोल
gasoline additive,पेट्रोल योजक
gasteroenteritis,जठरांत्रशोथ
Geiger Muller counter,गाइगर मुलर गणित्र
Geiger rating,गाइगर संनिर्धारण
gel,जेल
gene,जीन
genealogy,वंशवृक्ष
genecology,आवासानुवंशिकी
gene flow,जीन-प्रवाह
gene pool,जीन कोश
generation,"1. जनन, उत्पादन 2. पीढ़ी"
generator,जनित्र
generic,जातिगत
genesis,उत्पत्ति
genetic capacity,आनुवंशिक क्षमता
genetic control,आनुवंशिक नियंत्रण
genetic diversity,आनुवंशिक विविधता
genetic drift,आनुवंशिक विचलन
genetic engineering,आनुवंशिक अभियांत्रिकी
genetic feedback,आनुवंशिक पुनर्भरण
genetic risk,आनुवंशिक जोखिम
genetic sociology,आनुवंशिक समाजविज्ञान
genetics,आनुवंशिकी
genome,संजीन
genotype,जीन-प्ररूप
genus,"वंश, जीनस"
geobiom,"भूजीवोम, भू-बायोम"
geobotany,भू-वनस्पतिविज्ञान
geocentric,भू-केंद्रिक
geochemical cycle,भू-रासायनिक चक्र
geochronology,भू-कालानुक्रम
geocline,भू-प्रवणता
geographic environment,भौगोलिक पर्यावरण
geographic centre,भौगोलिक केंद्र
geographic information system (GIS),भौगोलिक सूचना तंत्र
geohygiene,भू-स्वास्थ्य
geological hazard,भूवैज्ञानिक संकट
geological survey,भूवैज्ञानिक सर्वेक्षण
geological time scale,भूवैज्ञानिक समय मापक्रम
geology,भूविज्ञान
geometric growth,गुणोत्तर वृद्धि
geometric mean,गुणोत्तर माध्य
geometric rate of increase,वृद्धि की गुणोत्तर दर
geometric series,गुणोत्तर श्रेणी
geometric standard deviation,गुणोत्तर मानक विचलन
geomorphology,"भूआककृतिविज्ञान, भू-आकारिकी"
geophagous,मृद्भक्षी
geophagy,मृद्भक्षण
geophone,"भूफोन, जियोफोन"
geophysics,भूभौतिकी
geoponics,भूकृषिविज्ञान
geosphere,भूमंडल
geostrate,भूस्तर
geothermal,भूतापीय
geothermal energy,भूतापीय ऊर्जा
geotropism,गुरुत्वानुवर्तन
germ,"रोगाणु, जर्म"
germplasm,"जननद्रव्य, जर्मप्लाज्म"
germicide,"रोगाणुनाशी, जर्मनाशी"
germination,अंकुरण
germination capacity,अंकुरण क्षमता
germination energy,अंकुरण ऊर्जा
germination percentage,अंकुरण प्रतिशत
germination test,अंकुरण परीक्षण
germinator,अंकुरण परीक्षित्र
geyser,"उष्णोत्स, गीजर"
gigantism,अतिकायता
glacial lake,हिमनदीय झील
glacial soil,हिमनदीय मृदा
glaciation,हिमनदन
glacier,हिमनद
glass house,कांच-घर
global climate change,भूमंडलीय जलवायु परिवर्तन
global equilibrium,भूमंडलीय संतुलन
global warming,"भूमंडलीय ऊष्मण, वैखिक तापन"
glucose,ग्लूकोस
glue,सरेस
glycophyte,अल्पलवणदोद्भिद्‌
gobar gas plant,गोबर गैस संयंत्र
Gondwana,गोंडवाना
gorge,"महाखड्ड, गॉर्ज"
gradation,"1. श्रेणीकरण, क्रमण 2. तल संतुलन"
grade,"श्रेणी, कोटि, क्रम"
graded,"1. श्रेणीकृत, क्रमिक 2. प्रवणित 3. संतुलित"
graded bedding,क्रमिक संस्तर
graded sediment,क्रमिक अवसाद
gradation period,क्रमण काल
gradient,प्रवणता
grain size,कण आकार
gramineae,ग्रामिनी
graminivorous,"सस्याहारी, घासाहारी"
granular activated carbon,कणिकामय सक्रियित कार्बन
granular fertilizer,रवेदार उर्वरक
gravitational force,गुरुत्वाकर्षण बल
green house,"ग्रीन हाउस, हरित गृह"
green development,हरित विकास
green house effect,"ग्रीन हाउस प्रभाव, हरित गृह प्रभाव"
green house gas,ग्रीन हाउस गैस
green revolution,हरित क्रांति
green politics,हरित राजनीति
gross production,सकल उत्पादन
ground water,"भौम जल, भूजल"
ground water remediation,भौम जल उपचार
growth efficiency,वृद्धि क्षमता
growth rate,वृद्धि दर
guide map,निर्देश मानचित्र
gullies,नाली
gyractor,"परिभ्रमित्र, जाइरेक्टर"
habitat,"पर्यावास, आवास"
habitat loss,पर्यावास क्षति
habitat diversity,पर्यावासी विविधता
habituation,अभ्यास
hailstorm,ओला-वृष्टि
halomorphic soil,लवणी मृदा
halophile,लवणरागी
halophyte,लवणमृदोद्भिद
hanging valley,निलंबी घाटी
haploid,अगुणित
haptotropism,स्पर्शानुर्वतन
hard detergent,कठौर अपमार्जक
hard structure,कठोर संरचना
hard water,कठोर जल
hardening,"कठोरण, दृढीकरण"
harvesting loss,सस्यकर्तन ह्रास
haustorium,चूषकांग
hay,शुष्क घास
hazardous air pollutant,संकटकारी वायु प्रदूषक
hazardous substance,संकटकारी पदार्थ
hazardous waste,संकटदायी अपशिष्ट
haze,धुंध
heat balance,ऊष्मा संतुलन
heat drying of sludge,आपंक ऊष्मा शुष्कन
heat energy,ऊष्मीय ऊर्जा
heat island effect,ऊष्मा दूवीप प्रभाव
heat of adsorption,अधिशोषण ऊष्मा
heat of combustion,दहन ऊष्मा
heat of condensation,संघनन ऊष्मा
heavy metal,भारी धातु
heavy rain,घोर वर्षा
heavy water,भारी जल
heikistotherm,हैकिस्टोथर्म
heliographic,सूर्य चित्रीय
heliophyte,आतपोद्भिद
heliosis,आतपक्षति
hemicryptophyte,अर्ध गूढोद्भिद्‌
hemiparasitic,अंशपरजीवी
hemitropical,अर्धानुवर्ती
herb,1. शाक 2. बूटी
herbicide,शाकनाशी
herbivore,शाकभक्षी
herbivorous,शाकभक्षी
heredity,आनुवंशिकता
heteroecism,भिन्नाश्रयिता
heteroecious,भिन्नाश्रय
heterogamous,विषमयुग्मकी
heterogamy,विषमयुग्मन
heterogeneity,विषमांगता
heterogeneous,विषमांग
heteromorphic,विषमरूपी
heterosis,"संकर ओज, हेटरोसिस"
heterosphere,विषममंडल
heterotroph,"परपोषित, विषमपोषित"
heterozone organism,विषमक्षेत्री जीव
heterozygote,विषम युग्मज
hibernation,शीतनिष्छक्रियता
hierarchy,पदानुक्रम
high density polyethylene,उच्च घनत्व पॉलिएथिलीन
high flood line,उच्च बाढरेखा
high grade,उच्च कोटि
high tide,उच्च ज्वार-भाटा
high water line (tide line),उच्च ज्वार रेखा
high yielding variety,उच्च उपज किस्म
Himalyan region,हिमालयी क्षेत्र
histogram,आयतचित्र
histology,ऊतक-विज्ञान
holistic,समग्रतात्मक
holistic ecology,समग्र पारिस्थितिकी
hollow land,नवजोत भूमि
holoparasite,पूर्णपरजीवी
holocoen (ecosystem),पारिस्थितिक तंत्र
holophitic nutrition,प्राणिसम पोषण
homeostatic,समस्थैतिक
homoiothermal,समतापीय
homogeneity,समांगता
homoiothermic,समतापी
homologous,"सजातीय, समजात"
homosphere,सममंडल
horizon,क्षितिज
hormone,हार्मोन
host,परपोषी
host-parasite relationship,परपोषी-परजीवी संबंध
human demography,मानव जनसांख्यिकी
humid climate,आर्द्र जलवायु
humidifier,आर्द्रकर
humidity,आर्द्रता
humification,ह्यूमसीकरण
humus,ह्यूमस
hunting,"आखेट, शिकार"
hurricane,"प्रभंजन, हरीकेन"
hutchinosonian niche,हचिनसन कर्मता
hybrid,संकर
hybridization,संकरण
hydrocarbon,हाइड़रोकार्बन
hydration,जलयोजन
hydraulic,1. चल द्रवीय 2. द्रवचालित
hydraulic element,चल द्रवीय साम्य
hydraulics,"द्रविकी, द्रवविज्ञान"
hydrologic cycle,जल चक्र
hydrosphere,जलमंडल
hydrobiology,जलजैविकी
hydrocarbon emission,हाइड्रोकार्बन उत्सर्जन
hydrochore,जलकीर्ण
hydrocyclone,जल-चक्रवात
hydrodynamics,जलगतिकी
hydroelectric,जलविद्युत्‌
hydroelectric energy,जलविद्युत ऊर्जा
hydroelectric power,जल विद्युत्‌-शक्ति
hydrogen bond,हाइड्रोजन आबंध
hydrogen sulphide,हाइड्रोजन सल्फाइड
hydrogenation,हाइड्रोजनन
hydrogeology,जल-भूविज्ञान
hydrography,"जलराशिकी, जलालेखिकी"
hydrology,जलविज्ञान
hydroloysis,जल-अपघटन
hydroponics,जल-सवंर्धन
hydrophilic,जलरागी
hydrophobic,1. जलभीरु 2. जलविरागी
hydrophyte,जलोद्भिद
hydropower,जलशक्ति
hydroscopic,आर्द्रताग्राही
hydrosere,जलक्रमक
hydrosphere,जलमंडल
hydrostatic pressure,द्रवस्थैतिक दाब
hydrothermal,उष्णजलीय
hydrotropic,जलानुवर्ती
hydrotropism,जलानुवर्तन
hygiene,1. स्वच्छता 2. स्वास्थ्यविज्ञान
hygric,आर्द्र
hygrometer,आर्द्रतालेख
hygrophyte,"आर्द्रतामापी, हाइग्रोमीटर"
hygroscopicity,आर्द्रतोद्भिद्‌
hygroscopic,आर्द्रताग्राहिता
hygroscopic,आर्द्रताग्राही
hygroscopic coefficient,आर्द्रताग्राही गुणांक
hygroscopic water,आर्द्रता जल
hygrothermography,आर्द्रतातापलेखी
hyperdisperse,अतिपरिक्षेपित
hyper immune,अति प्रतिरक्षित
hyper susceptible,अतिसुग्राही
hyperosmotic,अतिपरासारी
hyperparasite,अतिपरजीवी
hyperplasy,अतिवर्धन
hypertension,1. अतिरक्तदाब 2. अतिदाब 3. अति तनाव
hypertonic solution,अतिपरासारी विलयन
hypertrophic,अतिवृद्धिक
hypertrophy,अतिवृद्ध
hypnoplasy,अववर्धन
hypocentre,अवकेंद्र
hypochlorination,अल्पक्लोरीनन
hypodispersion,अल्पपरिक्षेपण
hypoplankton,निप्लवक
hypoplasy,अल्पवर्धन
hypothermal,अल्पतापी
hypothesis,परिकल्पना
hypsometer,उच्चतामापी
ice age,हिम काल
iceberg,प्लावी बर्फ
ice rafting,हिम रैफ्टिंग
ice water,हिमजल
ichthyology,मत्स्यविज्ञान
identification,"अभिनिर्धारण, अभिज्ञान, पहचान"
ideograph,भावचित्र
idioecology,स्वपारिस्थितिकी
idiobilogy,1. स्वजैविकी 2. व्यष्टिजैविकी
idle land,अप्रयुक्त भूमि
igneous rock,आग्नेय शैल
illuminance,प्रदीप्तिघनत्व
illumination,प्रदीप्ति
illuminometer,प्रदीप्तिमापी
illuviation,समपोहन
imbibition,अंतःशोषण
immigrant,आप्रवासी
immision,आदूषण
immobile,निश्चल
immobilization,निश्चलन
impermeability,अपारगम्यता
immunology,प्रतिरक्षाविज्ञान
immunity,प्रतिरक्षा
immunization,प्रतिरक्षण
impact,1. आघट्ट 2. प्रतिघात 3. प्रभाव
impedance,प्रतिबाधा
impervious,अप्रवेश्य
impervious soil,अप्रवेश्य मृदा
implant,प्रतिरोप
impingement,आघट्टन
improductive forest,अनुत्पादी वन
impulse,आवेग
inactivation of virus,विषाणु निष्क्रियण
inarticulate,असंधित
inbred,अंतःगप्रजात
inbreeding,अंतःप्रजनन
incandescent,तापदीप्त
incineration,भस्मीकरण
inclination,"आनति, झुकाव"
incompatibility,1. असंगतता 2. अनिषेच्यता
increaser,1. वृद्धिशील 2. वृद्धिकर
incubation,ऊष्मायन
incubation period,ऊष्मायन अवधि
incubator,1. ऊष्मायित्र 2. इंक्यूबेटर
indeciduous,अपर्णपाती
indehiscent,अस्फुटनशील
independent assortment,स्वतंत्र अपव्यूहन
indeterminate,1. अनिर्धारित 2. अनिश्चित
index frequency,सूचक आवृत्ति
index mineral,सूचक खनिज
index number,सूचकांक
index species,सूचक जाति
Indian Meterological Department (IMD),भारतीय मौसमविज्ञान विभाग
indicator,सूचक
indicator organism,सूचक जीव
indicator plant,सूचक पादप
indicator species,सूचक जाति
indigenous,"देशज, देशी"
indirect competition,अप्रत्यक्ष-स्पर्धा
indirect deforestation,अप्रत्यक्ष वनोन्मूलन
individual,1. व्यष्टि 2. व्यष्टिगत
individual distance,व्यष्टिगत दूरी
individual selection,व्यष्टिगत वरण
indoor air pollution,अंतःवायु-प्रदूषण
induction,प्रेरण
industrial melanism,औद्योगिक अतिकृष्णता
industrial waste,औद्योगिक अपशिष्ट
inert gas,अक्रिय गैस
inert matter,अक्रिय द्रव्य
infective,संक्रामक
inferior,1. निकृष्ट 2. निम्न 3. अधःस्थ
inferior soil,निकृष्ट मृदा
infested,ग्रस्त
infiltration,अंतःस्यंदन
infiltration rate,अंतःस्यंदन दर
influent,1. प्रभावक 2. अंतःप्रवाही
infra-red,अवरक्त
infrared radiation,अवरक्त विकिरण
infrared spectroscopy,अवरक्त स्पेक्ट्रमिकी
infrasonic,अवश्रव्य
ingestion,अंतर्ग्रहण
inheritance,वंशागति
inhibit,संदमन
inhibition,"संदमन, निरोध"
inhibitor,"संदमक, निरोधक"
inlet,अंतर्गम
inoculation,1. संरोपण 2. निवेशन
inoculate,1. संरोपण 2. निवेशन
inoculum,1. द्रव्य संरोप 2. निवेश
inorganic,1. अकार्बनिक 2. अजैविक
inorganic matter,अकार्बनिक द्रव्य
inorganic nitrogen,अजैविक नाइट्रोजन
ionosphere,आयनमंडल
input,निवेश
insecticide,कीटनाशी
in situ,स्वस्थाने
insoluble,अविलेय
insulation,1. ऊष्मारोधन 2. विद्युतरोधन
insusceptible,असुग्राह्य
integrated energy management,एकोकृत ऊर्जा प्रबंधन
integrated pest control,एकीकृत पीड़क नियंत्रण
integrated pest management (IPM),एकीकृत पीडक प्रबंधन
integrated plant protection,एकीकृत पादप रक्षण
integrated waste management (IWM),एकीकृत अपशिष्ट प्रबंधन
intensity,तीव्रता
intensive agriculture,गहन कृषि
interaction,अन्योन्यक्रिया
intercelluar,अंतराकोशिकी
interception,अवरोधन
intercropping,अंतरासस्यन
interdependency,परस्परनिर्भरता
interface,अंतरापृष्ठ
