English,Hindi,Definition
"Chuck, four jaw Independent",चार-जबड़ा स्वतंत्र चक,इस चक में चार जबड़े लगे होते हैं तथा प्रत्येक जबड़े को स्वतंत्र रुप से कुण्जी द्वारा चलाया जाता है ताकि असम्मित कृत्यक का केन्द्रीकरण सही किया जा सके ।
"Chuck, oval",अण्डाकार चक,"विशेष प्रकार का एक खराद चक, जिसकी सहायता से कार्य को औजार से दूर या औजार की ओर इस प्रकार चलाया जाता है जिससे कृत्यक अण्डाकार बन जायें। बड़े एवं लयु व्यास की स्थिति को परिवर्तित किया जा सकता है। इस चक में उक्केंद्रता को वर्म पहिया एवं स्पर्शी पेंच द्वारा नियंत्रित किया जाता है ।"
"Chuck, permanent magnetic",स्थायी-चुम्बकीय चक,"इस चुम्बकीय-चक में स्थायी चुम्बक इसके आधार में लगे होते हैं तथा सर्पी अंतरको की सहायता से उन्हें चक की उपरि पृष्ठ से पृथक रखा जाता है। ये अन्तरक चालकों, चुम्बकीय ब्लॉक और विद्युतरेधको की एकान्तर कतारों से बने होते हैं। इन चकों का प्रयोग मशीन टूल को टेबल पर बंधे हल्के सपाट कार्य को पकड़ने में किया जाता है। हस्त चालित लीवर की सहायता से अन्तरको को चलाकर कार्य-खण्ड को मुक्त किया जाता है। जिससे विद्युत रोधक एक रेखा में आ जाते है और इस प्रकार चुम्बकीय फ्लक्स को पृष्ठ तक पहुंचने से रोक देते हैं।"
"Chuck, self centering",स्वतः केन्द्रीकरण चक,यह एक खराद चक हैं जिसमें प्रायः तीन जबड़े होते है। केवल एक पेंच के घुमाने से तीनों जबड़े साथ-साथ खुलते और बंद होते हैं। स्क्रॉल/सर्पिल की सहायता से तीनों जबड़ों को अन्दर और बाहर किया जा सकता है। चूकि प्रत्येक जबड़ा ठीक एक जैसी दूरी चलता है अतः इस चक में कार्य को आसानी से एवं सही-सही बांधा जा सकता है लघु साइज वाले कार्यो के लिये यह चक बहुत उपयोगी है। भारी कार्यो में इन चकों की स्क्रॉल अक्सर टूट जाती है। अतः इनका उपयोग भारी कार्यो में नहीं करना चाहिए । इस चक को स्क्रॉल चक या सार्विक-चक भी कहते हैं ।
"Chuck, vacuum",निर्वातचक,इस प्रकार के चक में सपाट या प्ररुपित चादर-धातु निर्मित कार्य को पकड़ा जाता है। पकड़ने के लिये इसमें किसी भी प्रकार के शिकंजे की आवश्यकता नहीं पड़ती है। इसकी कार्य-पृष्ठ बहुछिद्री होती है जिस पर मशीनन हेतु कार्य को पृष्ठ से सटाकर रखा जाता है इसमें एक रेचक-पंप लगा होता है जो चक से सम्पूर्ण वायु निकाल देता है और इस प्रकार कार्य को जकड़ कर पकड़े रहता है।
Chucking,चकीकरण,खराद-चक पर कृत्य को बांधना। कुशल एवं सही चकीकरण एक कला है।
Chucking machine,चक-मशीन,इस मशीन में कार्य को केन्द्रकों के मध्य न बांधकर चक में बांधा जाता है और चक ही कार्य को चलाता है।
Circular Pitch,वृतीय अन्तराल,अन्तराल वृत पर दो क्रमिक व संगत बिन्दुओं के बीच की वक्र दूरी ।
Climb cutting or climb milling,आरोह भ्रमिकर्तन,इस भ्रमिकर्तन प्रक्रम में कार्य को भ्रमिकर्तक के दांते के पथ की दिशा में प्रभरित किया जाता है या यह भी कहा जा सकता है कि इस प्रक्रम में कार्य-टेबल भ्रमिकर्तक की घूर्णी दिशा की ओर चलती है।
Clamp,शिकंजा,पुर्जो को अस्थायी तौर पर पकड़ने की एक युक्ति इसमें दो जबड़े होते है एक जबड़ा चल और दूसरा अचल रहता है पेंच की सहायता से इन जबड़ो को साथ-साथ सेट किया जा सकता है ये शिकंजे कई रुपों में उपलब्ध है लेकिन पेच-क्लैम्प अधिक प्रथलित है। कैम और लीवर की सहायता से भी क्लैम्प को सैट किया जा सकता है।
Clutch,ग्राम/क्लच,चालक और चालित शैफ्टो या पहिये को एक रेखा में योंजन और वियोजन की यांत्रिक युक्ति। इसमें योजन या वियोजन दोनों शै्टों के बिना रोके तथा इच्छानुसार किया जा सकता है तथा अपेक्षित शक्ति-अन्तरण बिना सर्पण के सम्भव रहता है। “घर्षण-ग्राभ” में दोनों पृष्ठ एक दूसरे को दबाती है। तथा इस प्रकार पृष्ठ-घर्षण द्वारा यह ग्राभ काम करता है। चुम्बकीय ग्राभ में चुम्बक की आकर्षण शक्ति का इस्तेमाल किया जाता है “जबड़ा-ग्राभ” में निश्चित चालन सम्भव हैं । इसमें उभरे कर्ण होते हैं ।
"Clutch, Cone",शंकु क्लच/शंकुग्राभ,यह एक प्रकार का घर्षण ग्राभ है जिसमें नर और मादा अवयव दोनों शंक्वाकार होते है चालन शुरु करने या बंद करने हेतु नर अवयव को मादा अवयव के अन्दर सरकाया जाता है शंकु-ग्राभ में या तो तेल अवगाह में धातु से धातु का सम्पर्क रहता है या शुष्क चालन की अवस्था में फेब्रिक का धातु से सम्पर्क रहता है ।
"Clutch, disc",चक्रिका क्लच,यह एक घर्षण-ग्राभ है जिसके चालक एवं चालित अवयव की बर्तुल सपाट पृष्ठं होती है तथा दोनों पृष्ठों को सम्पर्क में लाया जाता हैं। इसमें एक या अधिक प्लेटें शुष्क या स्नरेहित अवस्था में दौड़ती है। एक प्लेट वाले को एकल-प्लेट ग्राम और बहु-चक्रिका वाले को बहुचक्रिका ग्राम कहते हैं। एक प्लेट ग्राभ में आमतोर पर चक्रिका फैब्रिक-फलाकत होती है जबकि बहुचक्रिका ग्राभ में प्लेटे तेल में घूमती है लेकिन दोनों ही स्त्रिं भारित होते हैं।
"Clutch, dog",कुत्ता ग्राभ/डॉग क्लच,यह एक प्रकार का जबड़ा ग्राभ है। इसमें एक अवयव नर और दूसरा मादा होता है तथा दोनों में उभार एवं स्लॉट बने होते हैं इसमें से एक अवयव को मिलन और अमिलन के लिये सरकाया जा सकता है।
"Clutch, fluid",तरल ग्राभ,इस प्रकार के ग्राभ में आमतौर पर तेल का इस्तेमाल करते हैं तेल को अचल अवयव में बने संकीर्ण मार्ग से धकेला जाता है यह क्रम तब तक जारी रहता है जब तक कि प्रवाह की वर्धमान चाल से इतना दाब उत्पन्न न हो जाये कि अचल अवयव घूमने लगे। जब चालक अवयव सही चाल पकड़ लेता है तो बहुत कम सर्पण होती है। इस प्रकार के ग्राभों का इस्तेमाल बड़े पैमाने पर आटोमोबाइल संचरण एवं भारी कार्य मशीनों में हो रहा है।
"Clutch, jaw",जबड़ा ग्राभ,इस ग्राभ के दोनों अवयवों में जबड़े होते है जो आपस में फंसकर निश्चित चालन प्रदान करते है।
"Clutch, magnetic",चुम्बकीय ग्राभ,इस प्रकार के ग्राभ में सम्पर्क करने वाली पृष्ठों को चुम्बक द्वारा पास लाया जाता है इसमें स्थायी चुम्बकों की अपेक्षा विद्युत चुम्बकों का अधिक इस्तेमाल किया जाता है।
"Clutch, mercury",पारा ग्राभ,"यह एक तरल ग्राभ हैं, जिसमें तेल की जगह पारे का प्रयोग करते हैं अपकेन्द्री क्रिया के कारण पारा केन्द्र से बाहर की और धकेला जाता है और ग्राभ काम करने लगता है।"
"Clutch, split ring",विपाठित वलय ग्राभ,यह एक प्रकार का घर्षण ग्राभ है जिसमें एक विपाठित वलय होती हैं। जिससे स्लीव के अन्दर कैम या लीवर यंत्रावली द्वार प्रसारित किया जा सकता है। इस प्रकार के क्लच को मशीन टूल में इस्तेमाल किया जाता हैं।
Coefficient of Contraction (fluid),संकुचन गुणांक (तरल),जैट संकोच पर जेट के क्षेत्रफल का विवर के क्षेत्रफल से अनुपात ।
Coefficient of discharge,निस्सरण गुणांक,वास्तविक निस्सरण और सैद्धांतिक निस्सरण के अनुपात को निस्सरण गुणांक कहते है।
Coefficient of Performance (Refrigerator),निष्पादन गुणांक (प्रशीतक),यह शुद्ध प्रशीतन प्रभाव तथा मशीन द्वारा कृत कार्य का अनुपात होता है। इसका मान प्रायः एक से अधिक होता है।
Coefficient of Velocity,वेग गुणांक,जैट संकोच पर जेट के वास्तविक वेग और सैद्धान्तिक वेग के अनुपात को वेग गुणांक कहते हैं।
Cochesion,संसंजन,किसी पिण्ड के विभिन्न कणों के परस्पर परमाण्विक बल से बंधे रहने का गुण धर्म।
Cold forging,अताप फोर्जन,अतप्तं धातुओं का फोर्जन करना ।
Common Drive method,(सामूहिक चालन विधि),इस पद्धत के अन्तर्गत एक बड़ी बैद्युत मोटर द्वारा सामूहिक रुप से एक से अधिक मशीनों को चलाया जाता है।
Compressibility,सम्पीड्यता,तरल पर अनुप्रयुक्त बाह्य बलों के कारण उत्पन्न तरल आयत- न-परिवर्तनता ।
Coolant,शीतक द्रव्य,"(ए) शीतक द्रव्य, द्रव या तरल हो सकता है इसका उपयोग
मशीनित किये जाने वाले कार्य को ठंडा करने में किया जाता है। कुछ शीतक द्रव्य औजार को किसी हद तक स्त्रेहित भी करते हैं। कुछ मामलों में वायु-प्रधार का उपयोग कार्य एवं औजार को ठंडा करने के लिये भी किया जाता है।
(बी) द्रव या तरल, जिसका उपयोग इंजन को ठंडा करने के लिये द्रव-शीतित पिस्टन इंजन की जैकिटों में, या दहन कक्ष की आन्तरिक भिन्तियों पर फिल्‍म के रुप में और राकेट-इंजनों के नोजलों में या पिघली धातुओं में जैसे कि खोखले रेचक वाल्चों में सोडियम और कुछ परमाणु-रियक्टरों में किया जाता है।"
Copying carriage,नकल यान/प्रतिकृति यान,"नकल मशीन का वह अनुलमग्नि, जो उस मॉडल के साथ-साथ चलती है जिसकी प्रतिकृति बनानी है।"
Copying machine,प्रतिकृति मशीन/नकल मशीन,यह एक प्रकार की ऐसी मशीन है जिसमें आकार पट्ट या मास्टर प्रतिरुप से एक जैसी वस्तुएं तैयार की जाती है। इस मशीन में उत्कीर्णक औजार या अन्य कर्तक या खराद ओजार स्वतः ही पैटर्न/प्रतिरुप या आकार पटट द्वारा निर्देशित होता है ।
Cotter,कॉटर,"शुण्डाकार फन्नी, दण्ड या पिन। यह एक अवयव के खांचे में प्रवेश करता है तथा दूसरे अवयव, जिसके अक्षीय हिस्से को समायोजित करना होता है, के सिरे पर दबाव डालता है। वाल्ब स्प्रिंग में प्रयुक्त कॉटर चित्र में दर्शाया गया है । कृपया चित्र-15 देखें ।
￼
कॉटर
चित्र-15"
Cotter pin,कॉटर पिन,"यह एक विपाटित पिन है जिसे छिद्र में डाला जाता है जैसे कि कॉटर में बने छिद्र में, ताकि कम्पन के कारण कॉटर ढीला न हो सके ।"
Counter bore,(अ) प्रतिवेधक,"एक प्रकार का प्रतिवेधन औजार, जिसका उपयोग बेलनाकार शीर्ष वाले पेंच की पीठिका बनाने में किया जाता है।
(ब) प्रतिवेध
परिवर्धित बेलनाकार छिद्र ।
(स) छिद्र का अपेक्षित
लम्बाई तक परिवर्धन करना ताकि काबला-शीर्ष और धातु पृष्ठ दोनों एक समतल पर रहें ।"
Counter boring,प्रतिवेधन,"प्रवेधन द्वारा छिद्र के किसी भी सिरे को दीर्घतर व्यास तक परिवर्धित करना, विशेष रुप से सिलिंडर बोर के प्रत्येक सिरे का परिवर्धन ताकि पिस्टन वलय आसानी से सिलिंडर में प्रवेश पा सके"
Counter current Condenser,प्रतिधारा द्रवपित्र,इस प्रकार के द्रवणित्र में भाप को ठंडा करने के लिये ठंडी की जाने वाली भाप और शीतल जल एक दूसरे के विपरीत प्रवाहित किये जाते हैं।
Countershaft,प्रतिशेफ्ट,शैफट लाइन तंत्र में यह एक मध्यवर्ती शैफ्ट होती है जो कि चालक एवं चालित शेफ्टों के मध्य लगी होती है इसकी सहायता से और अधिक चाल अनुपात प्राप्त किये जा सकते है या इनका उपयोग ऐसी स्थिति में किया जाता है जहां सीधा सम्पर्क सम्भव न हो ।
Counter sunk,शंकुखात,शंकुखातक औजार द्वारा बनाये गये छिद्र को शंकुखात कहते हैं । बैठ जाये और इस प्रकार बाहरी पृष्ठ के समतल में हो जाये ।
Counter sinking,शंकु खनन,"(ए) छिद्र के मुख को शंक्वाकार के रूप में बड़ा करना ताकि पेंच-शीर्ष या रिपट-शीर्ष उसमें इस तरह से बैठ जाये कि शीर्ष और पृष्ठ एक तल पर हों ।
(बी) कील या पेंच शीर्ष को पृष्ठ तल से नीचे बैठाना या ठोकना ताकि इसे प्लग से ढका जा सके ।"
Crane,क्रेन,"भार उठाने एवं नीचे ले जाने वाली मशीन जिसमें गरारियों, चैन एवं वैरल अनुलग्नियों का प्रयोग किया जाता है।"
"Crane, balance",संतुलन क्रेन,यह दो भुजावाली क्रेन है एक भुजा भार वहन करती है तथा दूसरी पर प्रतितोलक यंत्रावली लगी होती है। जिसे इस प्रकार व्यवस्थित किया जाता है कि वह स्वतः समायोजित होने लगती है ।
"Crane, Cantilever",प्रास क्रेन,इस प्रकार की क्रेन में जिब टेक-अवयव से बाहर को लटकी रहती है तथा प्रतिसंतुलित भी रहती है। इनका इस्तेमाल प्रायः खनिज पदार्थ को कटान तली से संग्रह स्थल तक ले जाने में किया जाता है।
"Crame, derricing jib",डैरिक जिब क्रेन,इस क्रेन में स्तम्भ और जिब के मध्य रज्जु की लम्बाई को बदलने से इसके कार्य-क्षेप को बदला जा सकता है।
"Crane, floating",प्लवमान क्रेन,"पान्द्न पर आरोपित विशालय क्रेन, इसका इस्तेमाल गोदीं में किया जाता है।"
"Crane, Gantry",गऱ्सी क्रेन,"चल क्रेन, जिसमें टांगे लगी होती हैं जो इसे धरातल पर पटरियों पर सम्हाले रहती हैं।"
"Crane, Goliath",गोलियथ क्रेन,एक विशालयकाय चल क्रेन ।
"Crane, Hercules",हरकूलीज क्रेन,"भाप चालित चल क्रेन, जिसमें घूमनेवाली जिब लगी होती है। इन क्रेनो का इस्तेमाल वन्दरगाह के कार्यो में कंक्रीट ब्लॉक के स्थापन के लिये किया जाता है।"
"Crane, horizontal",क्षैतिज क्रेन,सुवाह्य भापचालित संतुलित क्रेन इसमें क्षैतिज सिलिंडर लगा होता है ।
"Crane, hydraulic",द्रवीय क्रेन/द्रवचालित क्रेन,द्रवीय शक्ति की सहायता से प्रचालित क्रेन ।
"Crane, jib",जिब क्रेन,"इस क्रेन, में एक नत भुजा घूर्णामक उदग्र स्तम्भ के पाद पर बंधी होती है तथा तान दण्ड ऊपर के दोनों सिरों से बंधी होंती है और नत जिब कोसहारा प्रदान करती है। चैन स्तग्भ पर अरोपित विंच से गुजरती हुई जिब भुजा के सिरे पर बंधी पुली पर से गुजरती है।"
"Crane, level buffing",तल प्रतिवातक क्रेन,यह एक प्रकार की जिब क्रेन है जिसमें प्रतिवातन के समय भार को क्षेजित पथ पर त्रिज्याक चलाया जा सकता है। इससे शक्ति की बचत होती है।
"Crane, overhead travelling",शिरोपरि चल क्रेन,"कार्यशाला में प्रयुक्त होने वाली क्रेन। इसमें एक गर्डर पहियों पर आरोपित रहता है। ये पहिये छत के समीप कार्यशाला की लम्बाई के साथ-साथ बनी पटरी पर चलते हैं तथा गर्डर पर एक चल ट्राली लगी होती है। इस क्रेन में आमतौर पर, प्रगमन चक्रमण एवं उत्थापन यंत्र-विद्युत शक्ति द्वारा किया जाता है या हाथ से किया जाता है इस क्रेन को शाला प्रगामक के नाम से भी पुकारा जाता है।"
"Crane, platform",प्लेटफार्म क्रेन,एक प्रकार की द्रुतक्रेन। इसमें स्तम्भ की चोटी पर कोई आलम्ब नहीं होता है।
"Crane, portal jib",सुवाघ जिब क्रेन,"एक प्रकार की जिब क्रेम। यह एक चल या अचल संरचना पर बंधी होती है। इसमें एक रास्ता बना होता है, जिसमें से बैगन गुजर सकती है।"
"Crane, post",स्तम्भ क्रेन,यह एक प्रकार की जिब क्रेन है जिसमें स्तम्भ ऊपर और नीचे धुराग्र पर टिका होता है। जब इसमें तान छड़ से स्तम्भ और बूम को जोड़ा जाता है तो हुक एक निश्चित त्रिज्या के वृत पर प्रगमन करता है। लेकिन यदि उसके स्थान पर रस्से का इस्तेमाल किया जाये तो त्रिज्या को कम अधिक किया जा सकता है।
"Crane, rope",रजु क्रेन,यह एक प्रकार की चल क्रेन हैं जिसे अन्तहीन रस्से से चलाया जाता है रस्से को बहुत तेज गति से चलाया जाता है ताकि भारी बोझ/भार को उठाने में निम्नतम शक्ति खर्च में आये। रस्से के ढीलेपन को कर्षण धिरनियों द्वारा दूर किया जाता है ये धिरनियां सर्वो-फ्रेम पर आरोपित रहती है तथा इसके प्रति संतुलन के लिये निलम्बित संतुलक भार लगे होते हैं।
"Crane, steam",भाप चलित क्रेन,भाप इंजिन द्वारा प्रचालित क्रेन
"Crane, Titan",टाइटन क्रेन,यह एक बहुत विशाल भाप चालित क्रेन है जो हरकुलीज क्रेन जैसी परन्तु इसमें विघूर्णन हेतु मोटर नहीं लगा होता है।
"Crane, Tower",टावर क्रेन,यह एक घुूर्णीय प्रास क्रेन है जो स्टील की बनी टॉवर के ऊपर कीलक पर आरोपित रहती है यह टॉवर या तो स्थिर रहती है या उसे पटरी पर ले जाया जाता है। उत्थापक मशीनरी एवं कीलक के दूसरी पटरी पर आरोपित जड़भार दोनों ढुलाई भार को संतुलन प्रदान करते हैं।
"Crane, Travelling Jib",चल जिब क्रेन,"जिब क्रेन, जिसमें एक चल ट्वाली लगी होती है जोकि क्षैतिज जिब पर चलती है यह क्षैतिज जिब उदग्र स्तम्भ पर ओरपित रहता है ।"
"Crane, vertical",उदग्र क्रेन,"एक प्रकार की भाप-चालित क्रेन, जिसमें लम्बा पार्श्व फ्रेम लगा होता है ।"
"Crane, well",कूप क्रेन,"यह स्थिर स्तम्भ क्रेन है इसके स्तम्भ का आधा हिस्सा कूप के अन्दर, सीड़ी पर, निचला सिरा तथा इसका आलम्ब धरातल पर रहता है।"
Crest-Sill,शिखर-सिल,खाच और वीयर की वह ऊपर की सतह जिसके ऊपर से जल प्रवाहित होता है शिखर या सिल कहलाती है।
Crossed Belt Drive,क्रॉस पट्टा चालन,इसमें दोनों शाफ्ट समान्तर होते हैं तथा घूर्णन चाल दोनों की एक दूसरे के विपरीत होती है।
Cross Rail,अनुप्रस्थ पटरी,मशीन जैसे समतलित्र या प्रवेधन मिल का एक हिस्सा जिस पर ओजार धारक या सर्पी चलता है ताकि कार्य के विभिन्न हिस्सों से सम्पर्क किया जा सके ।
Crowbar,सब्बल,इस्पात की बनी छड़। इसका एक सिरा छैनी के आकार का होता है। इसका उपयोग भारी वस्तुओं को सरकारे में किया जाता है इसके लिये सब्बल को भारी वस्तु के नीचे बलात घुसाया जाता है। कभी-कभी इसे पिच-छड़ भी कहते हैं।
Cup wheel,चषक पहिया,सिलिंडर के आकार का अपघर्षक। इसके घूमते किनारों से अपघर्षण किया जाता है।
Curling tool,वलयक ओजार,"धातु की वस्तुओं के किनारो को मोड़ने के लिये अभिकल्पित औजार । यह किनारों में वलय, चढाव लपेट एवं बंकन प्रदान करता है । किनारों में चढ़ाव या तो वाहूय या आन्तरिक होता है ।"
Cutting angle,कर्तन कोण,काटे जा रहे पदार्थ की पृष्ठ तथा औजार के कर्तक फलक के बीच का कोण।
Datum head,स्थितिज-दाखोच्चता,निर्देश तल से द्रव की ऊँचाई ।
Datum level,निर्देश स्तर,"तरल की ऊर्जा सामान्यतया ऊँचाई के पदों में व्यक्त की जाती है बह स्तर, जिसके ऊपर से ऊँचाई नापी जाती है निर्देश स्तर कहते हैं ।"
Dead axle,अचल धुरा/अचल धुरी,वह धुरी जो अपने पहिये के साथ घूमती नहीं है। अर्थात पहिया घूमता है और धुरी अचल रहती है।
"Dead Centre, inner (Top dead Centre)",अन्तः निश्चालय स्थिति,"क्षैतिज प्रत्यावत इंजन या पंप में पिस्टन की वह स्थिति, जहां पर पिस्टन क्रेक शैफ्ट से दूर होता है इस स्थिति में पिस्टन अपना बाहरी स्ट्रोक प्रारम्भ करता है।"
"dead Centre, outer",वाह्य निश्चालय स्थिति,क्षैतिज पिस्टन इंजन या पम्प में पिस्टन की यह वह स्थिति है जब पिस्टन क्रैकशाफ्‌ऊट के सबसे नजदीक होता है और पिस्टन अपने बाहरी स्ट्रोक की समाप्ति पर होता है अर्ध्वाधर इंजन या पम्प में इसे तल निश्चालय स्थिति कहते हैं।
Dead weight safety valve,अचल भार सुरक्षा वाल्व,वह सुरक्षा वाल्व जिसकी कार्यं प्रणाली में अचल भार का प्रयोग किया जाता है।
Dedendum,वियोज्य,"1-(गरारी) दाँतों के मध्य अन्तरात वृत्त से नीचे की गहराई है ।
2-(पेंच चूड़ी) वाहूय चूड़ी के लघु बेलन (शंकु) और अन्तराल के मध्य त्रिज्य दूरी।
3- आन्तरिक चूड़ी के अन्तराल बेलन (शंकु) और वृहूत बेलन के मध्य त्रिज्य दूरी।"
Degree of Superheat,अतिताप मात्रा,अतितप्त वाष्प के तापृ और संतृप्त बाष्प के ताप में अंतर।
Delivery head,प्रदायी दाबोच्चता,"वह दाबोच्चता, जिस पर जल पम्प से बाहर निकलना प्रारम्भ कर देता है ।"
Dial feed,डायल प्रभरण,मशीनों में कार्य प्रभरण की एक युक्ति । पंच प्रेस कार्य में इसका आमतौर पर उपयोग किया जाता है।
Diametral Pitch,व्यासीय अन्तराल,गरारी पर स्थित दाँतों की संख्या को अन्तराल व्यास से भाग देने पर जो गुणनफल आता है उसे व्यासीय अन्तराल कहते है ।
Diagram factor,आरेख गुणक,वास्तविक सूचक तथा सैध्दांतिक आरेख क्षेत्रफलों का अनुपात
Die,डाई/ठप्पा,"(ए) एक आन्तरिक चूड़ीदार इस्पात ब्लाॉक। इस ब्लॉक में कर्तन सिरा होता है, जो चूड़ी काटने के काम आता है।
(बी) धातु निर्मित ब्लॉक, जिसका उपयोग स्टेम्पिंग संक्रियाओं में किया जाता है इसमें इस्पात को दबाया जाता है।
(सी) एक धातु ब्लॉक, जिसमें अताप या पिघली धातु को बर्हिवेधित किया जाता है।
(डी) सही आकृति का एक धातु खण्ड, जिसका उपयोग वस्तुओं के तल प्रेक्षेपणो के लिये किया जाता है।"
"Die, air bend",वायु-मोड़ डाई,"इस प्रकार की डाई में मोड़ने या प्ररुपित की जाने वाली धातु पर डाई स्वयं नहीं टकराती है जैसा कि चित्र-15 में दर्शाया गया है, यहाँ पर धातु प्ररुपित करने के लिये ऊपरी डाई और निचली डाई के दो सिरों के सम्पर्क का सहारा लिया गया है। इस प्रकार
की डाई का इस्तेमाल प्रेस ब्रेक में भारी धातुओं के लिये किया
जाता है। कृपया चित्र-16 देखें ।
￼
वायु-मोड़ डाई
चित्र-16"
"Die, blanking,",ब्लैंक-डाई,इस डाई से धातु-चादरों से ब्लैंक काटे जाते है जिनपर अपेक्षित कार्य किये जाते हैं कभी-2'इनमें पंच भी लगी होती है पंच-युक्त इन डाइयों को बहु्लैंकडाई कहते हैं।
"Die, blasted:",बालू प्रधमित डाई,"यह एक प्रकार की प्ररुपण-डाई, जिसकी पृष्ठों को इसलिये बालू प्रधमित कर दिया जाता है ताकि कार्य पर माटी-फिनिश प्राप्त की जा सके ।"
"Die, bolt",काबला-डाई,काबलों पर चूड़ी काटने वाली डाई । ये कई रुपों में उपलब्ध हैं ।
"Die, buldging",उत्तलन डाई,"इस प्रकार की डाई में चादर-धातु के चषक या नली को किसी
￼
उत्तलन डाई
चित्र-17 
भी अपेक्षित स्थान पर दाब की सहायता से उभारा जाता हैं। जैसा कि चित्र 16 में दर्शाया गया है रबड़ चक्रिका को कोष के अन्दर डाला जाता है जैसे ही पंच नीचे उतरता है रबड़ बाहर की तरफ धिकल जाती है जिससे उसमें अपेक्षित स्थान पर भार बन जाता है। कृपया चित्र-17 देखें ।"
"Die, coining",मुद्रा-डाई,"यह समुद्रभरण डाई है इस डाई में बने अवगर्तो में धातु ब्लैंक को भारी दाब की सहायता से दबाया जाता है। इनका इस्तेमाल मुद्रा, मैडल एवं अन्य ऐसी ही वस्तुयें बनाने में किया जाता है ।"
"Die, cupping",चषकन डाई,इस प्रकार की डाइयों से सपाट ब्लैंकों से चषकाकार चीजें बनाई जाती है ।
"Die, curling",वलयक-डांई,"इस प्रकार की डाई से कर्षित धातु से निर्मित डोल या डिब्बों के किनारों को मोड़ने तथा तेज किनारों को हटाने का काम लिया जाता है चित्र-18 में कोश का वलयन दिखाया गया है । (चित्र-18)
￼

वलयक-डांई
चित्र-18"
"Die, heading",शीर्षीकरण डाई,इस प्रकार की डाई तप्त या अतप्त छड पर शीर्ष या कार्टरिज कोश पर छोटा कॉलर बनाने के काम आती है।
"Die, index",अनुभाजक डाई/अनुभाजक ठप्पा,इस प्रकार की डाई गोल ब्लैंक में विशिट अन्तराल पर छिद्र बनाने के काम आती है जैसे मोटर या जनित्र के अर्मेचर की चक्रिका को बनाया जाता है।
"Die, magnetic",चुम्बकीय डाई,इसमें डाई एवं पंच को चुम्बक द्वारा एक स्थिति में रखा जाता है। चुम्बक रैम तथा प्रैस के मंच पर बंधें होते है पंच और डाई दोनों पृष्ठ-कठोरित-इस्पात के बने होते है।
"Die, perforating",छिद्रक डाई,यह एक प्रकार की बहु-पंच-डाई है जिसके दुवारा एक ही समय में अनेक छिद्र बनाये जा सकते है। इसमें कार्य को डाई पर पैड के दाब से दबाकर रखा जाता है और तब उस ब्लैंक को पंच किया जाता है।
"Die, progressive",प्रगामी डाई,इस प्रकार की डाइयों का उपयोग पंच-प्रेसों में किया जाता है जहाँ पर कार्य में संक्रिया की एक अवस्था से दूसरी अवस्था तक पहुँचते समय प्रगति होती है।
