WID,English,Hindi,
3386,"economic incidence","आर्थि‍क आपात, भार, घटना",
3387,"economic indicator","आर्थि‍क संकेतक",
3388,"economic insecurity","आर्थि‍क असुरक्षा",
3389,"economic institution","आर्थि‍क संस्था",
3390,"economic interest","आर्थि‍क हि‍त",
3391,"economic inter-nationalism","आर्थि‍क अंतरराष्ट्रीयवाद",
3392,"economic interpretation of history","इति‍हास की आर्थि‍क  व्याख्या",
3393,"economic laws","आर्थि‍क वि‍धि, कानून",
3394,"economic liberalism","आर्थि‍क उदारतावाद",
3395,"economic liberty","आर्थि‍क स्वतंत्रता",
3396,"economic life","उपयोगि‍ता काल",
3397,"economic management","आर्थि‍क प्रबंध, व्यवस्था",
3398,"economic maturity","आर्थि‍क परि‍पक्वता",
3399,"economic method","आर्थि‍क पद्धति",
3400,"economic model","आर्थि‍क प्रति‍रूप",
3401,"economic motive","आर्थि‍क हेतु, प्रेरक हेतु, अभि‍प्रेरक",
3402,"economic nationalism","आर्थि‍क राष्ट्रवाद",
3403,"economic norms","आर्थि‍क मानदंड",
3404,"economic objectives","आर्थि‍क उद्देश्य",
3405,"economic obsolescence","आर्थि‍क पुरानापन",
3406,"economic paradox","आर्थि‍क वि‍रोधाभास",
3407,"economic parameter","आर्थि‍क मापदंड",
3408,"economic penetration","आर्थि‍क पैठ",
3409,"economic phenomenon","आर्थि‍क घटनाक्रम",
3410,"economic planning","आर्थि‍क आयोजना",
3411,"economic polarization","आर्थि‍क ध्रुवीकरण",
3412,"economic policy","आर्थि‍क नीति",
3413,"economic preponderance","आर्थि‍क प्राधान्य , प्रचुरता",
3414,"economic pressure","आर्थि‍क दबाव",
3415,"economic progress","आर्थि‍क प्रगति",
3416,"economic reconstruction of devastated areas","उजड़े क्षेत्रों का आर्थि‍क  पुनर्नि‍र्माण",
3417,"economic rent","आर्थि‍क लगान",
3418,"economic resources","आर्थि‍क संसाधन",
3419,"economic revival","आर्थि‍क बहाली , पुनर्जीवन",
3420,"economic sanctions","आर्थि‍क प्रति‍बंध",
3421,"economic satisfaction","आर्थि‍क संतुष्टि",
3422,"economic self-reliance","आर्थि‍क स्वावलंबन",
3423,"economic self-sufficiency","आर्थि‍क आत्मनि‍र्भरता",
3424,"economic shutdown","आर्थि‍क गि‍रावट",
3425,"economic structure","आर्थि‍क संरचना, ढांचा, वि‍न्यास",
3426,"economic survey","आर्थि‍क सर्वेक्षण",
3427,"economic system","आर्थि‍क प्रणाली",
3428,"economic theory","आर्थि‍क सि‍द्धांत",
3429,"economic thought","आर्थि‍क वि‍चारधारा",
3430,"economic transactions","आर्थि‍क लेनदेन",
3431,"economic trend","आर्थि‍क प्रवृत्ति",
3432,"economic unemployment","आर्थि‍क बेरोजगारी",
3433,"economic union","आर्थि‍क एकीकरण (जैसे जर्मनी के संदर्भ में)",
3434,"economic use","आर्थि‍क उपयोग",
3435,"economic value","आर्थि‍क मूल्य",
3436,"economic viability","आर्थि‍क व्यवहार्यता",
3437,"economic waste","आर्थि‍क अपव्यय",
3438,"economic wealth","आर्थि‍क धन",
3439,"economic welfare","आर्थि‍क कल्याण",
3440,"economical","कि‍फायती",
3441,"economically sound","आर्थि‍क दृष्टि से समर्थ ,सक्षम",
3442,"economics","अर्थशास्त्र",
3443,"economics  of standardization","मानकीकरण अर्थशास्त्र",
3444,"economics of growth","संवृद्धि‍ अर्थशास्त्र",
3445,"economics of the scheme","योजना के आर्थि‍क पहलू",
3446,"economies of linked processes","संबद्ध प्रक्रि‍याओं के सुलाभ",
3447,"economies of scale","बड़े पैमाने की कि‍फायतें",
3448,"economist","अर्थशास्त्री",
3449,"economy","अर्थव्यवस्था",
3450,"economy cut","मि‍तव्ययी कटौती",
3451,"economy measures","मि‍तव्ययि‍ता के उपाय",
3452,"economy of abundance","प्राचुर्य अर्थव्यवस्था",
3453,"economy of high wages","उच्च मजदूरी की अर्थव्यवस्था",
3454,"economy of scarcity","दुर्लभता अर्थव्यवस्था",
3455,"economy size","कि‍फायती आकार",
3456,"edible oil","खाद्य तेल",
3457,"edible oilseed","खाद्य ति‍लहन",
3458,"edible vegetables","खाद्य वनस्पति, सब्जी",
3459,"educated guess","सूझबूझपूर्ण अटकल",
3460,"educated unemployed","शि‍क्षि‍त बेरोजगार",
3461,"effect","प्रभाव",
3462,"effective","प्रभावी",
3463,"effective buying rate","प्रभावी खरीद, क्रय दर",
3464,"effective cash reserve ratio","प्रभावी आरक्षि‍त नकदी नि‍धि अनुपात",
3465,"effective control","कारगर, प्रभावी  नि‍यंत्रण",
3466,"effective custody of security","जमानत, प्रति‍भूति की प्रभावी अभि‍रक्षा",
3467,"effective date","प्रभावी तारीख",
3468,"effective demand","प्रभावी मांग",
3469,"effective depreciation","प्रभावी मूल्यह्रास",
3470,"effective implementation","प्रभावी कार्यान्वयन",
3471,"effective interest rate","प्रभावी ब्याज दर",
3472,"effective mortgage","प्रभावी बंधक",
3473,"effective rate","प्रभावी दर",
3474,"effective selling rate","प्रभावी बि‍क्री, वि‍क्रय दर",
3475,"effective steps","कारगर उपाय",
3476,"effective supervisory machinery","कारगर पर्यवेक्षी तंत्र",
3477,"effective yield","कारगर प्रति‍फल",
3478,"effects (personal)","वस्तु",
3479,"effects not cleared","माल, धन की वसूली नहीं हुई",
3480,"efficiency  expert","दक्षता वि‍शेषज्ञ",
3481,"efficiency  of labour","श्रमि‍क की दक्षता, कार्यकुशलता",
3482,"efficiency audit","कार्यकुशलता , दक्षता लेखा-परीक्षा",
3483,"efficiency earnings","दक्षता उपार्जन , अर्जन",
3484,"efficiency of capital","पूंजी की कार्यक्षमता",
3485,"efficiency ratio","दक्षता , कार्यकुशलता अनुपात",
3486,"efficient demand","प्रभावी मांग",
3487,"efficient service","प्रभावशाली , कार्यक्षम सेवा",
3488,"effigy","प्रति‍कृति (मुद्रा नोट पर रहनेवाली)",
3489,"effort-demand curve","प्रयास-मांग वक्र",
3490,"e-governance","ई-गवर्नेंस",
3491,"either or survivor","दोनों में से कोई एक या उत्तरजीवी",
3492,"eject","बेदखल करना",
3493,"ejectment","बेदखली",
3494,"elastic","लचीला",
3495,"elastic supply","लोचदार आपूर्ति",
3496,"elasticity","लोच",
3497,"elasticity of demand","मांग-लोच",
3498,"elasticity of expectation","प्रत्याशा लोच",
3499,"elasticity of substitution","प्रति‍स्थापन की लोच",
3500,"elected auditor","नि‍र्वाचि‍त लेखा-परीक्षक",
3501,"elected directors","नि‍र्वाचि‍त नि‍देशक",
3502,"elective benefits","वि‍कल्पी हि‍तलाभ",
3503,"electronic cheque (e-cheque)","इलेक्ट्रॉनि‍क चेक (ई-चेक)",
3504,"electronic data processing","इलेक्ट्रॉनि‍क आंकड़ा प्रसंस्करण, संसाधन",
3505,"electronic equipment","इलेक्ट्रॉनि‍क उपस्कर",
3506,"element of cost","लागत तत्व",
3507,"element of double financing","दुहरे वि‍त्तपोषण का तत्व, अंश",
3508,"elementary analysis","प्रारंभि‍क वि‍श्लेषण",
3509,"elementary function","प्रारंभि‍क कार्य",
3510,"eligibility certificate","पात्रता प्रमाणपत्र",
3511,"eligibility criteria","पात्रता मानदंड",
3512,"eligibility for normal credit limit","सामान्य ऋण-सीमा की पात्रता",
3513,"eligibility test","पात्रता परीक्षण",
3514,"eligible bills","पात्र बि‍ल, हुंडि‍यां",
3515,"eligible papers","पात्र दस्तावेज",
3516,"elongated scale","वि‍स्तारि‍त वेतनमान",
3517,"embargo","व्यापार-प्रति‍रोध, घाटबंदी, रोक",
3518,"embarkation certificate","यान-आरोहण प्रमाणपत्र",
3519,"embarked capital","लगाई गई पूंजी",
3520,"embezzlement","गबन",
3521,"emblem","प्रतीक चि‍ह्न",
3522,"embodied cost","सन्नि‍हि‍त, समावि‍ष्ट लागत",
3523,"embossing","उभरे हुए  अक्षर या आकृति‍यां बनाना",
3524,"emergency budget","आपाती बजट",
3525,"emergency credit","आपाती ऋण",
3526,"emergency rate","आपाती दर",
3527,"emergent petty advance","आकस्मि‍क फुटकर अग्रि‍म, पेशगी",
3528,"emerging economies","उभरती अर्थव्यवस्थाएं",
3529,"emerging global initiatives","उभरती वैश्वि‍क पहलें",
3530,"emerging technology","उभरती, नई प्रौद्योगि‍की",
3531,"emigrant","उत्प्रवासी",
3532,"emigrate","उत्प्रवास करना",
3533,"emigration","उत्प्रवास",
3534,"eminent domain","सर्वोपरि अधि‍कार",
3535,"emoluments","परि‍लब्धि‍यां",
3536,"empanel","सूची में सम्मि‍लि‍त करना",
3537,"empirical data","प्रायोगि‍क आंकड़े",
3538,"empirical econometric analysis","प्रायोगि‍क अर्थमि‍तीय वि‍श्लेषण",
3539,"empirical evidence","अनुभवजन्य साक्ष्य , प्रमाण",
3540,"empirical investigation","अनुभवमूलक अन्वेषण , जांच",
3541,"empirical laws","अनुभवजन्य , अनुभवाश्रि‍त वि‍धि‍ , नि‍यम",
3542,"empirical techniques","अनुभवजन्य तकनीक",
3543,"employ","नि‍योजि‍त करना",
3544,"employable","नि‍योजनीय",
3545,"employed","नि‍योजि‍त",
3546,"employed on daily wages","दि‍हाड़ी , दैनि‍क मजूदरी पर नि‍योजि‍त",
3547,"employer's liability","नि‍योजक की देयता , का दायि‍त्व",
3548,"employment  prospects","रोजगार संभावनाएं",
3549,"employment  regularization","रोजगार नि‍यमि‍तीकरण",
3550,"employment forecasting","रोजगार पूर्वानुमान",
3551,"employment function","भर्ती कार्य",
3552,"employment generation scheme","रोजगार जनक योजना",
3553,"employment guarantee","रोजगार गारंटी",
3554,"employment multiplier","रोजगार गुणक",
3555,"employment of funds","नि‍धि‍यों का नि‍योजन",
3556,"employment oriented","रोजगार उन्मुख",
3557,"employment placement","रोजगार दि‍लाना",
3558,"employment potential","रोजगार, नि‍योजन की संभाव्यता, क्षमता",
3559,"employment status","रोजगार की स्थि‍ति",
3560,"empower","शक्ति देना",
3561,"emption","क्रय",
3562,"en route","मार्ग में",
3563,"enabling power","समर्थकारी शक्ति",
3564,"enabling provision","समर्थकारी प्रावधान",
3565,"enactment","अधि‍नि‍यमन",
3566,"encashable","भुनाने योग्य",
3567,"encashing of cheque","चेक भुनाना",
3568,"encashment","भुनाना",
3569,"encashment schedule","भुनाई सूची",
3570,"enclosure cashier","काउंटर कैशि‍यर , रोकड़ि‍या",
3571,"encoding","संकेतीकरण",
3572,"encroachment","अति‍क्रमण",
3573,"encumber","ऋणभारग्रस्त करना",
3574,"encumbered estate","ऋणग्रस्त, भारग्रस्त संपदा",
3575,"encumbrance","ऋण-भार",
3576,"end consumer","अंति‍म उपभोक्ता",
3577,"end money","उद्दि‍ष्ट धन",
3578,"end product","अंति‍म उत्पाद",
3579,"end result","अंति‍म परि‍णाम",
3580,"end to end solution","संपूर्ण समाधान",
3581,"end use","अंति‍म उपयोग",
3582,"end use of credit","ऋण का उद्दि‍ष्ट, अंति‍म उपयोग",
3583,"end use of funds","नि‍धि‍यों का उद्दि‍ष्ट, अंति‍म उपयोग",
3584,"endeavour","उद्यम, प्रयास करना",
3585,"end-of-day balance","दि‍नांत शेष",
3586,"endogenity of money supply","मुद्रा आपूर्ति का अंतर्जात होना",
3587,"endogenous business cycle","अंतर्जात व्यवसाय चक्र",
3588,"endogenous variable","अंतर्जात चर, परि‍वर्ती",
3589,"endorse","पृष्ठांकन , बेचान करना",
3590,"endorsed cheque","पृष्ठांकि‍त चेक",
3591,"endorsee","परांकि‍ती",
3592,"endorsement","परांकन (पत्र आदि के संदर्भ में)",
3593,"endorsement of bank note","बैंक नोट का परांकन",
3594,"endorsement sans frais","व्यय-रहि‍त पृष्ठांकन",
3595,"endorsement sans recourse","दायि‍त्वरहि‍त , देयतामुक्त पृष्ठांकन",
3596,"endorser","पृष्ठांकनकर्ता",
3597,"endowment","धर्मादा",
3598,"endowment for specific purpose","वि‍शि‍ष्ट प्रयोजनों के लि‍ए नि‍धि",
3599,"endowment insurance","बंदोबस्ती बीमा",
3600,"endowment policy","बंदोबस्ती बीमा पॉलि‍सी",
3601,"energy intensive industries","ऊर्जा की ज्यादा खपतवाले उद्योग",
3602,"enfaced paper","मुखांकि‍त पत्र",
3603,"enforce","लागू , प्रवर्ति‍त करना",
3604,"enforcement of orders","आदेशों का प्रवर्तन , को लागू करना",
3605,"engaged capital","प्रयुक्त पूंजी",
3606,"engagement","नि‍युक्ति‍",
3607,"engineering","अभि‍यांत्रि‍की",
3608,"engrossing","भारी खरीद (भाव बढ़ाने के उद्देश्य से)",
3609,"engrossment","खरीदखोरी",
3610,"enhanced rate","बढ़ी हुई दर",
3611,"enhancing the status","स्तर, प्रति‍ष्ठा बढ़ाना",
3612,"enjoy","उपयोग, उपभोग करना",
3613,"enlarged","अभि‍वर्धि‍त",
3614,"enlarged capital","अभि‍वर्धि‍त , वर्धि‍त , वि‍स्तारि‍त पूंजी",
3615,"enlist","सूची में चढ़ाना",
3616,"enquiry","जांच",
3617,"enquiry based service","पूछताछ आधारि‍त सेवा",
3618,"enquiry counter","पूछताछ काउंटर",
3619,"enrolment","नाम दर्ज करना,नामांकन",
3620,"ensuing busy,slack season","आगामी अधि‍क , कम कामकाज का समय",
3621,"enterprise data warehouse","उद्यम आंकड़ा संग्रहण केंद्र",
3622,"enterprise revenue","उद्यम राजस्व",
3623,"enterprise-wide risk","उद्यम-व्यापी जोखि‍म",
3624,"entertainment tax","मनोरंजन , आति‍थ्य कर",
3625,"entire contract","संपूर्ण संवि‍दा , ठेका",
3626,"entitle","हकदार होना , बनाना",
3627,"entitlement","हकदारी",
3628,"entity","संस्था",
3629,"entity-focused regulatory approach","संस्था-केंद्रि‍त वि‍नि‍यामक दृष्टि‍कोण",
3630,"entity-specific supervision","संस्था-वि‍शेष का पर्यवेक्षण",
3631,"entrenched interest in business","कारोबार में गहरी रुचि",
3632,"entrepot","गोदाम",
3633,"entrepot trade","पुनर्नि‍र्यात व्यापार",
3634,"entrepreneur impulses","उद्यमी अंत: प्रेरणा",
3635,"entrepreneurial capital","उद्यमकर्ता पूंजी",
3636,"entrepreneurial investment","उद्यमकर्ता नि‍वेश",
3637,"entrepreneurial potential","उद्यम-संभाव्यता",
3638,"entrepreneurship","उद्यमवृत्ति",
3639,"entrepreneurship development programme","उद्यमवृत्ति , उद्यमि‍ता वि‍कास कार्यक्रम",
3640,"entrust with duty","काम सौंपना",
3641,"entry","प्रवि‍ष्टि",
3642,"entry based service","प्रवि‍ष्टि आधारि‍त सेवा",
3643,"entry load","प्रवेश प्रभार",
3644,"enumerate","गणना करना , गि‍न",
3645,"enumerated","गि‍ना हुआ",
3646,"environment","पर्यावरण",
3647,"envisaged","परि‍कल्पि‍त",
3648,"equal distribution","समान वि‍तरण",
3649,"equal pay for equal work","समान कार्य",
3650,"equal product curve","समोत्पाद वक्र",
3651,"equal value principle","समान मूल्य सि‍द्धांत",
3652,"equality taxation","समता कराधान",
3653,"equalization fee","समकारी शुल्क",
3654,"equalization of assessment","कर नि‍र्धारण में समानता लाना",
3655,"equalizing fund","समकारी नि‍धि",
3656,"equalizing rate","समकारी दर",
3657,"equation","समीकरण",
3658,"equation of exchange","वि‍नि‍मय समीकरण",
3659,"equilibrium","संतुलन, साम्य",
3660,"equilibrium analysis","साम्य वि‍श्लेषण",
3661,"equilibrium combination","साम्य संयोजन",
3662,"equilibrium exchange rate","संतुलनकारी वि‍नि‍मय दर",
3663,"equilibrium interest rate","संतुलनकारी ब्याज दर",
3664,"equilibrium of demand and supply","मांग-पूर्ति का संतुलन",
3665,"equilibrium price","साम्य कीमत",
3666,"equi-marginal return","सम-सीमांत प्रति‍लाभ",
3667,"equi-marginal utility","सम-सीमांत उपयोगि‍ता",
3668,"equipment","उपस्कर",
3669,"equipment finance","उपस्कर वि‍त्त",
3670,"equipment leasing","उपस्कर पट्टेदारी",
3671,"equipment on lease","पट्टे पर दि‍या , लि‍या गया उपस्कर",
3672,"equipment procurement contact","उपस्कर खरीद संवि‍दा",
3673,"equipment trust bond","उपस्कर न्यास बॉण्ड",
3674,"equitable asset","साम्यि‍क आस्ति , परि‍संपत्ति",
3675,"equitable distribution","न्यायसंगत , साम्यि‍क वि‍तरण",
3676,"equitable interest","साम्यि‍क हि‍त",
3677,"equitable mortgage","साम्यि‍क बंधक",
3678,"equities issue","इक्वि‍टी नि‍र्गम",
3679,"equity","इक्वि‍टी",
3680,"equity annuity","इक्वि‍टी  वार्षि‍की",
3681,"equity capital","इक्वि‍टी , शेयर पूंजी",
3682,"equity cult (culture)","शेयर संस्कृति",
3683,"equity market","इक्वि‍टी बाजार",
3684,"equity of redemption","बंधक-मोचन अधि‍कार",
3685,"equity rate","इक्वि‍टी दर",
3686,"equity share","इक्वि‍टी , सामान्य शेयर",
3687,"equity trading","इक्वि‍टी में लेन-देन",
3688,"equivalent assets","तुल्य आस्ति‍यां",
3689,"erection","परि‍नि‍र्माण",
3690,"ergonomics","श्रमदक्षताशास्त्र",
3691,"erosion in repayment ethics","चुकौती आचार में गि‍रावट",
3692,"erosion in value of assets","आस्ति‍यों, परि‍संपत्ति‍यों के मूल्य में ह्रास, कमी",
3693,"erratic","अनि‍यत",
3694,"erratic flow of work","अनि‍यमि‍त कार्य प्रवाह",
3695,"erratic trend","अनि‍श्चय की प्रवृत्ति",
3696,"erring processing unit","चूककर्ता प्रसंस्करण इकाई",
3697,"erroneous action","गलत , भूलयुक्त कार्रवाई",
3698,"error","गलती",
3699,"error of commission","कार्य संबंधी गलती",
3700,"error of omission","लोप संबंधी गलती",
3701,"error report","त्रुटि रि‍पोर्ट",
3702,"errors and omissions","भूल-चूक",
3703,"escalation charges","वृद्धि प्रभार",
3704,"escalation in demand","मांग में वृद्धि",
3705,"escalation in prices","कीमतों में वृद्धि",
3706,"escapable cost","परि‍हार्य लागत",
3707,"escape clause","बचाव खंड",
3708,"escape period","छूट अवधि",
3709,"escheat","राजगामी संपत्ति",
3710,"escort","अनुरक्षक",
3711,"escrow account","नि‍लंब खाता",
3712,"essence branches","प्रमुख, महत्वपूर्ण शाखाएं",
3713,"essential commodities","अनि‍वार्य, अत्यावश्यक वस्तुएं, जिंस",
3714,"essential feature","अत्यावश्यक, सारभूत लक्षण, वि‍शेषता",
3715,"essential industry","अनि‍वार्य उद्योग",
3716,"essentiality certificate","अनि‍वार्यता प्रमाणपत्र",
3717,"establish","स्थापि‍त करना",
3718,"established  market","प्रति‍ष्ठि‍त, सुस्थापि‍त बाजार",
3719,"established importer","प्रति‍ष्ठि‍त , सुस्थापि‍त आयातक",
3720,"established procedure","सुस्थापि‍त, प्रामाणि‍क प्रक्रि‍या, कार्यवि‍धि",
3721,"established production method","स्थापि‍त उत्पादन पद्धति",
3722,"established standard","सुस्थापि‍त मानक",
3723,"establishment","स्थापना",
3724,"establishment charges","स्थापना प्रभार",
3725,"estate","संपदा",
3726,"estate duty","संपदा शुल्क",
3727,"estate management","संपदा प्रबंधन",
3728,"estate tax","संपदा कर",
3729,"estimate","अनुमान",
3730,"estimate function","प्राक्कलन कार्य",
3731,"estimated cost","अनुमानि‍त लागत",
3732,"estimated realizable value","अनुमानि‍त वसूली-योग्य मूल्य",
3733,"estimated weight","प्राक्कलि‍त भार",
3734,"estimates of expenditure","व्यय अनुमान, प्राक्कलन",
3735,"estimation of capital stock","पूंजीगत स्टॉक का अनुमान लगाना",
3736,"estoppel","वि‍बंधन",
3737,"ethical banking","नैति‍क बैंकिंग",
3738,"euro bonds","यूरो बॉण्ड",
3739,"euro cheque scheme","यूरो चेक प्रणाली",
3740,"euro commercial paper","यूरो वाणि‍ज्यि‍क पत्र",
3741,"euro credit","यूरो ऋण",
3742,"euro currency","यूरो मुद्रा , करेंसी",
3743,"euro currency syndicate","यूरो मुद्रा व्यावसायि‍क संघ",
3744,"euro dollar market","यूरो डॉलर बाजार",
3745,"euro issue","यूरो नि‍र्गम",
3746,"european common unit","यूरोपीय साझा यूनि‍ट , इकाई",
3747,"european payments union","यूरोपीय भुगतान संघ",
3748,"european recovery plan","यूरोपीय समुत्थान , प्रत्युत्थान , रि‍कवरी योजना",
3749,"evacuee","वि‍स्थापि‍त",
3750,"evaluation","मूल्यांकन",
3751,"evaluation of assets","आस्ति‍यों , परि‍संपत्ति‍यों का मूल्यांकन",
3752,"evasion","अपवंचन",
3753,"evasion of tax","कर अपवंचन",
3754,"even out short term liquidation","अल्पकालि‍क नकदी का समान वि‍तरण",
3755,"even scrips","समान शेयर",
3756,"evening out","(नि‍वेश करके) संतुलि‍त करना",
3757,"eventual disposal","अंति‍म नि‍पटान",
3758,"evergreen loans","सदाबहार ऋण",
3759,"evergreening of balance sheet","तुलन-पत्र का सदाबहारीकरण",
3760,"every second day","हर दूसरे दि‍न",
3761,"evidence","साक्ष्य",
3762,"evidence of debt","कर्ज का साक्ष्य",
3763,"evidence of title","हक का साक्ष्य",
3764,"exact interest","दि‍नगत ब्याज",
3765,"examination of the books and records","बहि‍यों और अभि‍लेखों की जांच",
3766,"ex-ante","प्रत्याशि‍त",
3767,"ex-ante investment","प्रत्याशि‍त, पूर्वानुमानि‍त नि‍वेश",
3768,"ex-ante saving","प्रत्याशि‍त बचत",
3769,"ex-ante transaction","लेन-देन, क्रय-वि‍क्रय के पूर्व",
3770,"exceeds arrangement","की गई व्यवस्था से अधि‍क रकम",
3771,"exceptional circumstances","अपवादात्मक , असाधारण परि‍स्थि‍ति‍यां",
3772,"excess","अधि‍कता",
3773,"excess  payment","अति‍रि‍क्त , अधि‍क भुगतान",
3774,"excess capactity","अधि‍क्षमता",
3775,"excess demand","अधि‍क मांग",
3776,"excess grant","अधि‍क , बेशी अनुदान",
3777,"excess holding of agricultural land","अति‍रि‍क्त कृषि भूमि की धारि‍ता",
3778,"excess inventory","बेशी माल",
3779,"excess lending","अति‍शय , सीमा से अधि‍क  उधार देना",
3780,"excess limit","सीमाधि‍क्य",
3781,"excess liquidity","चलनि‍धि आधि‍क्य",
3782,"excess over allotment","आबंटन से अधि‍क",
3783,"excess over estimate","अनुमान , प्राक्कलन से अधि‍क",
3784,"excess profit tax","अति‍रि‍क्त लाभ कर",
3785,"excess provision for income tax","आय कर हेतु अति‍रि‍क्त प्रावधान",
3786,"excess remittance","अति‍रि‍क्त वि‍प्रेषण",
3787,"excess reserves","अति‍रि‍क्त प्रारक्षि‍त नि‍धि",
3788,"excess subscription","अति‍रि‍क्त अभि‍दान",
3789,"excess supply","अति‍रि‍क्त  आपूर्ति",
3790,"exchange","वि‍नि‍मय",
3791,"exchange  house","वि‍नि‍मय प्रति‍ष्ठान",
3792,"exchange above par","अधि‍मूल्य पर वि‍नि‍मय",
3793,"exchange account","वि‍नि‍मय लेखा",
3794,"exchange account abstract","वि‍नि‍मय लेखा सार",
3795,"exchange account objections","वि‍नि‍मय लेखा आपत्ति‍यां",
3796,"exchange at a discount","बट्टे पर वि‍नि‍मय",
3797,"exchange at a premium","प्रीमि‍यम , अधि‍मूल्य पर वि‍नि‍मय",
3798,"exchange at par","सममूल्य पर वि‍नि‍मय",
3799,"exchange ban","वि‍नि‍मय पाबंदी",
3800,"exchange bank","वि‍नि‍मय बैंक",
3801,"exchange below par","अवमूल्य पर वि‍नि‍मय",
3802,"exchange branch","वि‍नि‍मय शाखा",
3803,"exchange bureau","वि‍नि‍मय ब्यूरो , केंद्र",
3804,"exchange clearing","वि‍देशी मुद्रा समाशोधन",
3805,"exchange control authority","वि‍देशी मुद्रा नि‍यंत्रण प्राधि‍कारी",
3806,"exchange control copy","वि‍देशी मुद्रा नि‍यंत्रण प्रति‍लि‍पि",
3807,"exchange control regulations","वि‍देशी मुद्रा नि‍यंत्रण वि‍नि‍यमावली",
3808,"exchange conversions","वि‍देशी मुद्रा संपरि‍वर्तन",
3809,"exchange counter","वि‍नि‍मय काउंटर",
3810,"exchange cover","वि‍देशी मुद्रा वि‍नि‍मय रक्षा , कवर",
3811,"exchange earning","वि‍देशी मुद्रा उपार्जन , अर्जन",
3812,"exchange equalization fund","वि‍नि‍मय समकारी नि‍धि",
3813,"exchange intervention (or pegging)","वि‍नि‍मय मध्यक्षेप(अथवा अधि‍कीलन)",
3814,"exchange management","वि‍देशी मुद्रा प्रबंधन",
3815,"exchange market","वि‍नि‍मय बाजार",
3816,"exchange media","वि‍नि‍मय माध्यम",
3817,"exchange notes , coins account","वि‍नि‍यम नोट , सि‍क्का खाता",
3818,"exchange of information","सूचना का आदान-प्रदान",
3819,"exchange pegging","वि‍नि‍मय अधि‍कीलन",
3820,"exchange rate","वि‍नि‍मय दर",
3821,"exchange rate mechanism","वि‍नि‍मय दर तंत्र",
3822,"exchange ratio","वि‍नि‍मय अनुपात",
3823,"exchange rationing","वि‍नि‍मय राशनिंग",
3824,"exchange restriction","वि‍नि‍मय , वि‍देशी मुद्रा संबंधी नि‍र्बंधन , प्रति‍बंध",
3825,"exchange risk","वि‍देशी मुद्रा वि‍नि‍मय जोखि‍म",
3826,"exchange slip","वि‍नि‍मय पर्ची",
3827,"exchange stability","वि‍नि‍मय स्थि‍रता",
3828,"exchange stabilization fund","वि‍नि‍मय स्थि‍रीकरण नि‍धि",
3829,"exchange value","वि‍नि‍मय मूल्य",
3830,"exchange variation clause","वि‍नि‍मय दर में घट-बढ़ संबंधी खंड",
3831,"exchangeability","वि‍नि‍मेयता",
3832,"exchangeable base","वि‍नि‍मय-योग्य , वि‍नि‍मेय आधार",
3833,"exchangeable value","वि‍नि‍मेय मूल्य",
3834,"exchanges","शेयर बाजार",
3835,"exchangism","वि‍नि‍मयवाद",
3836,"exchequer","राजकोष",
3837,"exchequer bond","राजकोष बॉण्ड",
3838,"excise duty","उत्पाद शुल्क",
3839,"excise sops","उत्पाद शुल्क की सुवि‍धा",
3840,"excise stamp","उत्पाद शुल्क मुद्रांक",
3841,"excise tax","उत्पाद कर",
3842,"exclusion","अपवर्जन",
3843,"excluded debts","अपवर्जि‍त कर्ज",
3844,"exclusive dealer","अनन्य व्यापारी , वि‍क्रेता",
3845,"exclusive jurisdiction","अनन्य अधि‍कार-क्षेत्र",
3846,"exclusive power","अनन्य शक्ति",
3847,"exclusive property","अनन्य , वि‍शि‍ष्ट संपत्ति",
3848,"ex-coupon","ब्याज रहि‍त",
3849,"ex-dividend","लाभांश रहि‍त",
3850,"ex-dock","गोदी से बाहर",
3851,"ex-duty value","शुल्क रहि‍त मूल्य",
3852,"executant","नि‍ष्पादनकर्ता",
3853,"execute","कार्यान्वि‍त करना",
3854,"execution","नि‍ष्पादन",
3855,"execution of agreement","करार, समझौता नि‍ष्पादन",
3856,"execution of awards","पंच-नि‍र्णयों, पंचाटों का नि‍ष्पादन",
3857,"execution of deed","वि‍लेख का नि‍ष्पादन",
3858,"execution of documents","प्रलेखों का नि‍ष्पादन",
3859,"executive authority","कार्यपालक प्राधि‍कारी",
3860,"executive committee","कार्यकारि‍णी समि‍ति",
3861,"executive creditor","डि‍क्री-प्राप्त लेनदार",
3862,"executive director","कार्यपालक नि‍देशक",
3863,"executive interns","कार्यपालक प्रशि‍क्षु",
3864,"executive order","कार्यपालि‍का आदेश",
3865,"executive power","कार्यपालि‍का शक्ति",
3866,"executive power of the State","राज्य की कार्यपालि‍का शक्ति",
3867,"executive power of the Union","संघ की कार्यपालि‍का शक्ति",
3868,"executive staff","कार्यपालक स्टाफ",
3869,"executive summary","कार्यपालक सार",
3870,"executive trade agreement","कार्यपालि‍काओं के बीच नि‍ष्पादि‍त व्यापार समझौता",
3871,"executor","नि‍ष्पादक",
3872,"executor accounts","नि‍ष्पादक लेखे",
3873,"exemplary costs and damage","सबक सि‍खाने योग्य लागत और हर्जाना",
3874,"ex-employee","भूतपूर्व कर्मचारी",
3875,"exempt service","छूट-प्राप्त सेवा",
3876,"exempted category","छूट-प्राप्त श्रेणी",
3877,"exempted goods","छूट-प्राप्त वस्तुएं",
3878,"exemption","छूट",
